年,月,日,時,分,秒,緯度(度),緯度(分),経度(度),経度(分),深さ(km),Ｍ,震央地名
2022,6,1,00,04,29.0,28,0.0,129,7.6,12,1.2,奄美大島近海
2022,6,1,00,04,58.4,37,49.6,141,36.2,48,1.0,福島県沖
2022,6,1,00,07,55.1,37,50.6,141,36.0,47,1.2,福島県沖
2022,6,1,00,16,15.2,37,58.8,141,44.2,57,0.8,宮城県沖
2022,6,1,00,18,2.7,34,53.4,134,44.5,14,0.3,兵庫県南西部
2022,6,1,00,18,8.3,39,57.3,142,9.0,15,0.5,岩手県沖
2022,6,1,00,18,14.1,37,31.2,137,18.2,12,1.4,石川県能登地方
2022,6,1,00,18,31.8,32,2.2,132,3.3,32,0.8,日向灘
2022,6,1,00,18,43.7,39,12.0,142,22.9,33,1.3,岩手県沖
2022,6,1,00,22,48.7,32,36.1,129,48.5,14,0.3,長崎県南西部
2022,6,1,00,23,15.7,32,38.9,132,0.2,39,0.2,日向灘
2022,6,1,00,26,2.9,35,51.0,140,5.6,75,1.6,千葉県北西部
2022,6,1,00,29,25.7,33,43.8,130,13.8,8,0.5,福岡県北西沖
2022,6,1,00,33,20.9,37,52.1,141,41.9,56,1.7,宮城県沖
2022,6,1,00,43,8.1,32,42.8,132,3.3,39,0.2,日向灘
2022,6,1,00,43,25.5,35,50.8,139,59.9,46,0.7,千葉県北西部
2022,6,1,00,43,57.3,37,53.5,141,41.2,55,0.5,宮城県沖
2022,6,1,00,46,36.7,34,1.4,135,14.0,5,-0.1,和歌山県北部
2022,6,1,00,47,46.1,34,2.9,133,4.1,12,0.8,瀬戸内海中部
2022,6,1,00,48,30.3,37,50.1,141,37.0,49,1.2,福島県沖
2022,6,1,00,49,43.4,37,44.3,141,33.0,54,0.6,福島県沖
2022,6,1,00,53,22.5,37,1.7,140,33.1,8,0.2,福島県中通り
2022,6,1,00,54,13.8,26,19.1,129,1.2,29,1.6,沖縄本島近海
2022,6,1,00,55,9.6,42,10.5,139,11.8,5,1.6,北海道南西沖
2022,6,1,00,56,36.7,32,56.4,132,49.0,27,0.5,高知県西部
2022,6,1,01,00,20.2,42,37.9,141,58.0,34,1.8,胆振地方中東部
2022,6,1,01,03,10.1,35,23.4,136,55.7,10,0.0,岐阜県美濃中西部
2022,6,1,01,04,30.3,37,51.2,141,34.2,46,1.0,福島県沖
2022,6,1,01,04,57.4,32,31.8,129,45.9,7,0.2,天草灘
2022,6,1,01,14,50.1,42,43.8,144,45.6,43,1.4,釧路沖
2022,6,1,01,17,37.2,32,39.8,130,43.2,9,0.7,熊本県熊本地方
2022,6,1,01,20,7.1,37,46.3,141,34.2,52,0.7,福島県沖
2022,6,1,01,22,6.4,35,57.2,139,41.5,27,1.5,埼玉県南部
2022,6,1,01,22,40.8,37,36.5,141,28.6,48,0.9,福島県沖
2022,6,1,01,23,0.4,37,49.4,141,35.7,47,0.7,福島県沖
2022,6,1,01,24,8.7,33,43.2,135,47.6,22,0.0,和歌山県南部
2022,6,1,01,24,48.0,39,3.6,140,50.7,10,0.3,岩手県内陸南部
2022,6,1,01,25,47.8,42,51.3,143,19.5,116,2.4,十勝地方中部
2022,6,1,01,27,29.9,36,11.8,138,34.5,151,1.5,長野県中部
2022,6,1,01,28,32.1,34,7.7,133,48.3,13,0.7,香川県西部
2022,6,1,01,33,40.8,35,28.3,134,57.6,10,0.7,兵庫県北部
2022,6,1,01,33,42.5,37,31.3,137,13.2,13,0.7,能登半島沖
2022,6,1,01,34,36.4,35,46.2,140,51.6,9,1.3,千葉県東方沖
2022,6,1,01,36,0.7,36,48.6,141,21.7,7,-,茨城県沖
2022,6,1,01,36,6.5,37,24.8,141,54.6,38,1.3,福島県沖
2022,6,1,01,38,48.5,39,23.6,142,31.5,31,1.0,岩手県沖
2022,6,1,01,41,42.8,36,16.2,143,9.6,25,1.4,関東東方沖
2022,6,1,01,41,45.2,35,40.7,137,5.3,6,0.3,岐阜県美濃中西部
2022,6,1,01,44,11.3,36,48.7,141,21.8,7,1.3,茨城県沖
2022,6,1,01,44,19.7,35,16.5,135,48.8,12,0.0,京都府南部
2022,6,1,01,45,19.5,34,54.6,135,37.5,11,2.2,大阪府北部
2022,6,1,01,47,11.1,27,11.7,127,52.4,82,1.3,沖縄本島近海
