年,月,日,時,分,秒,緯度(度),緯度(分),経度(度),経度(分),深さ(km),Ｍ,震央地名
2022,6,5,00,06,42.5,32,22.7,130,40.3,10,0.8,熊本県熊本地方
2022,6,5,00,07,14.6,36,57.8,139,25.3,5,0.0,福島県会津
2022,6,5,00,10,19.3,28,11.5,129,31.4,31,1.3,奄美大島近海
2022,6,5,00,10,25.8,26,34.0,127,9.5,63,1.4,沖縄本島近海
2022,6,5,00,15,12.3,39,14.3,142,42.5,21,1.4,岩手県沖
2022,6,5,00,15,16.2,41,29.2,141,0.4,8,-0.5,青森県下北地方
2022,6,5,00,16,58.3,39,53.5,140,45.1,3,0.4,秋田県内陸南部
2022,6,5,00,17,46.9,33,59.8,135,5.4,9,0.8,紀伊水道
2022,6,5,00,19,25.5,28,31.8,129,40.1,15,1.3,奄美大島近海
2022,6,5,00,19,38.4,20,10.9,121,17.8,11,4.4,フィリピン付近
2022,6,5,00,20,43.8,37,26.7,144,48.0,40,2.0,福島県沖
2022,6,5,00,23,45.1,35,54.7,140,13.2,42,0.6,茨城県南部
2022,6,5,00,24,39.4,39,6.6,140,49.9,11,0.5,岩手県内陸南部
2022,6,5,00,30,25.0,37,4.3,142,19.4,16,1.1,福島県沖
2022,6,5,00,31,58.5,35,2.3,135,33.9,12,0.6,京都府南部
2022,6,5,00,34,1.5,36,48.0,141,22.8,7,0.9,茨城県沖
2022,6,5,00,37,15.7,36,46.1,140,32.8,11,0.2,茨城県北部
2022,6,5,00,39,7.0,37,49.8,141,35.2,47,0.8,福島県沖
2022,6,5,00,39,50.1,36,13.9,137,54.1,13,-0.2,長野県中部
2022,6,5,00,39,58.0,37,20.8,141,33.6,41,1.2,福島県沖
2022,6,5,00,40,0.0,24,1.4,122,34.5,31,2.1,与那国島近海
2022,6,5,00,41,44.1,35,3.7,135,10.2,13,1.1,兵庫県南東部
2022,6,5,00,43,1.0,39,1.8,140,50.9,9,0.1,岩手県内陸南部
2022,6,5,00,45,39.1,32,17.2,129,46.6,15,0.4,天草灘
2022,6,5,00,49,15.5,37,44.0,139,59.2,9,-0.1,福島県会津
2022,6,5,00,51,5.4,37,52.2,141,41.8,57,1.5,宮城県沖
