年,月,日,時,分,秒,緯度(度),緯度(分),経度(度),経度(分),深さ(km),Ｍ,震央地名
2022,6,9,00,01,46.2,39,18.7,140,20.5,8,0.5,秋田県沿岸南部
2022,6,9,00,04,41.1,37,31.0,137,15.6,15,0.9,石川県能登地方
2022,6,9,00,05,33.7,36,37.7,139,55.6,118,1.2,栃木県南部
2022,6,9,00,05,56.0,43,1.4,142,47.1,15,0.1,十勝地方北部
2022,6,9,00,05,59.3,37,31.8,137,18.9,11,0.2,石川県能登地方
2022,6,9,00,07,25.5,41,9.4,142,54.0,26,0.8,青森県東方沖
2022,6,9,00,08,57.4,33,32.5,140,42.6,47,1.6,八丈島東方沖
2022,6,9,00,10,27.9,35,25.3,136,50.4,16,0.2,岐阜県美濃中西部
2022,6,9,00,15,0.4,36,34.3,139,30.6,7,1.3,栃木県南部
2022,6,9,00,15,35.7,34,17.0,136,7.2,7,0.0,三重県南部
2022,6,9,00,15,50.3,39,6.1,142,7.0,44,0.9,岩手県沖
2022,6,9,00,17,5.9,34,7.8,135,7.6,7,0.0,紀伊水道
2022,6,9,00,17,34.1,37,55.3,141,37.4,55,1.2,宮城県沖
2022,6,9,00,18,0.8,32,41.5,132,3.5,42,0.2,日向灘
2022,6,9,00,18,2.7,39,37.3,138,34.4,7,2.0,秋田県沖
2022,6,9,00,18,48.8,37,31.3,137,18.7,12,1.0,石川県能登地方
2022,6,9,00,19,3.0,39,23.8,143,33.5,7,1.6,三陸沖
2022,6,9,00,19,59.4,32,52.8,131,6.4,15,0.7,熊本県阿蘇地方
2022,6,9,00,25,10.5,37,32.2,137,14.5,10,0.2,能登半島沖
2022,6,9,00,25,35.7,37,57.6,141,45.1,54,1.5,宮城県沖
2022,6,9,00,26,25.8,34,37.1,131,56.9,9,1.0,島根県西部
2022,6,9,00,26,37.4,32,37.7,131,59.9,36,-0.2,日向灘
2022,6,9,00,27,20.5,28,18.2,128,12.5,117,2.0,奄美大島北西沖
2022,6,9,00,27,31.3,34,44.1,139,46.5,103,1.5,千葉県南東沖
2022,6,9,00,28,51.2,37,31.2,137,12.2,10,0.8,能登半島沖
2022,6,9,00,31,0.8,37,31.2,137,11.9,13,0.7,能登半島沖
2022,6,9,00,33,34.6,37,13.3,142,9.2,24,1.6,福島県沖
2022,6,9,00,36,1.2,37,47.5,141,35.4,53,1.1,福島県沖
2022,6,9,00,40,0.0,34,57.4,134,51.9,14,1.5,兵庫県南東部
2022,6,9,00,40,29.1,37,14.2,136,43.0,10,0.2,石川県能登地方
2022,6,9,00,41,15.4,43,28.0,142,57.2,11,0.3,十勝地方北部
2022,6,9,00,41,47.5,33,4.9,132,5.0,5,0.4,豊後水道
2022,6,9,00,43,24.3,37,47.4,141,36.4,54,1.4,福島県沖
2022,6,9,00,43,41.5,42,11.6,140,42.3,130,1.5,内浦湾
2022,6,9,00,44,34.7,31,58.5,130,30.9,8,1.4,鹿児島県薩摩地方
2022,6,9,00,45,37.8,37,30.3,137,17.4,11,0.6,石川県能登地方
2022,6,9,00,51,57.0,33,49.3,134,55.3,12,0.0,紀伊水道
2022,6,9,00,56,40.4,43,42.0,147,27.1,1,3.0,北海道東方沖
2022,6,9,00,57,35.2,35,34.6,142,34.7,23,1.5,関東東方沖
2022,6,9,01,00,20.4,37,31.6,137,14.0,11,0.2,能登半島沖
2022,6,9,01,00,56.4,24,13.6,122,43.5,16,1.9,与那国島近海
2022,6,9,01,02,5.5,34,57.3,134,51.8,14,0.4,兵庫県南東部
2022,6,9,01,02,36.5,39,37.2,142,6.6,46,1.0,岩手県沖
2022,6,9,01,03,47.4,37,51.0,141,34.9,47,1.1,福島県沖
2022,6,9,01,03,56.9,40,2.7,140,31.2,9,0.4,秋田県内陸北部
2022,6,9,01,04,31.5,37,32.1,137,13.9,10,0.1,能登半島沖
2022,6,9,01,06,37.3,26,47.6,126,23.6,24,1.7,沖縄本島北西沖
2022,6,9,01,07,6.6,26,59.9,130,16.4,46,2.1,奄美大島近海
2022,6,9,01,07,15.9,35,59.7,140,4.7,64,2.1,茨城県南部
2022,6,9,01,11,24.1,37,56.6,141,49.1,52,1.5,宮城県沖
2022,6,9,01,16,51.5,36,2.3,140,7.3,50,0.7,茨城県南部
2022,6,9,01,17,52.9,27,21.4,128,2.8,14,1.3,沖縄本島近海
2022,6,9,01,19,42.7,26,49.2,126,26.6,17,2.0,沖縄本島北西沖
2022,6,9,01,20,20.4,42,45.0,141,13.7,143,-,石狩地方南部
2022,6,9,01,23,27.7,31,58.5,130,30.9,8,1.0,鹿児島県薩摩地方
2022,6,9,01,23,59.4,36,14.5,141,0.1,42,1.2,茨城県沖
2022,6,9,01,25,39.9,37,21.2,142,9.0,20,1.8,福島県沖
2022,6,9,01,26,29.6,34,54.3,134,9.4,17,0.0,岡山県北部
2022,6,9,01,28,40.2,32,33.4,129,57.9,12,0.0,天草灘
2022,6,9,01,29,27.0,35,47.9,140,53.1,28,1.1,千葉県東方沖
2022,6,9,01,29,48.8,37,49.1,141,36.5,49,0.9,福島県沖
2022,6,9,01,31,52.9,38,39.4,142,22.0,44,2.0,宮城県沖
2022,6,9,01,34,51.8,37,29.9,137,13.7,12,0.4,石川県能登地方
2022,6,9,01,35,6.0,39,58.5,139,29.3,12,1.4,秋田県沖
2022,6,9,01,36,18.4,33,27.5,141,45.6,32,3.2,八丈島東方沖
2022,6,9,01,37,14.5,31,59.3,130,12.0,2,0.3,天草灘
2022,6,9,01,37,53.3,32,46.3,130,28.1,11,0.5,有明海
2022,6,9,01,37,55.5,35,54.8,137,37.6,8,0.6,長野県南部
2022,6,9,01,38,37.5,29,10.5,130,35.3,28,1.6,奄美大島北東沖
2022,6,9,01,42,0.7,38,1.0,141,54.0,52,1.7,宮城県沖
2022,6,9,01,45,4.9,37,31.4,137,18.8,12,0.5,石川県能登地方
2022,6,9,01,47,3.2,35,17.1,139,5.1,13,0.2,神奈川県西部
2022,6,9,01,47,44.2,43,18.8,146,7.1,45,1.7,根室半島南東沖
