年,月,日,時,分,秒,緯度(度),緯度(分),経度(度),経度(分),深さ(km),Ｍ,震央地名
2022,6,13,00,00,45.5,37,43.0,141,33.9,55,2.1,福島県沖
2022,6,13,00,01,26.4,37,27.3,137,9.4,10,0.4,石川県能登地方
2022,6,13,00,03,40.1,35,19.0,140,42.2,22,1.8,千葉県東方沖
2022,6,13,00,04,43.0,37,47.1,141,33.8,52,1.3,福島県沖
2022,6,13,00,04,48.0,31,42.9,130,5.5,6,-0.1,薩摩半島西方沖
2022,6,13,00,05,1.5,37,38.3,141,34.7,53,1.5,福島県沖
2022,6,13,00,07,56.4,37,37.6,141,35.0,50,1.1,福島県沖
2022,6,13,00,11,2.4,37,37.9,141,35.2,51,1.5,福島県沖
2022,6,13,00,12,43.5,32,34.9,130,39.5,12,0.3,熊本県熊本地方
2022,6,13,00,13,51.5,42,12.9,142,42.7,59,0.5,日高地方東部
2022,6,13,00,14,26.8,33,3.6,132,3.8,5,0.1,豊後水道
2022,6,13,00,16,40.2,37,38.1,141,35.2,53,2.7,福島県沖
2022,6,13,00,18,10.1,35,22.5,138,0.0,15,0.2,長野県南部
2022,6,13,00,20,7.1,32,33.1,131,39.5,16,0.0,宮崎県北部平野部
2022,6,13,00,22,6.0,37,38.0,141,35.1,51,1.0,福島県沖
2022,6,13,00,25,33.9,36,37.6,139,24.1,8,0.0,栃木県北部
2022,6,13,00,26,15.2,42,33.4,141,41.3,22,1.4,苫小牧沖
2022,6,13,00,27,38.7,36,37.4,139,24.8,8,0.7,栃木県北部
2022,6,13,00,28,9.6,37,46.5,141,38.8,53,1.2,福島県沖
2022,6,13,00,29,49.3,38,57.4,144,40.8,12,2.9,三陸沖
2022,6,13,00,30,22.7,36,29.8,141,6.3,33,1.1,茨城県沖
2022,6,13,00,32,35.0,33,4.7,130,31.8,13,0.1,福岡県筑後地方
2022,6,13,00,32,37.3,37,31.3,137,11.7,12,0.6,能登半島沖
2022,6,13,00,34,50.3,34,6.8,134,30.1,3,0.3,徳島県北部
2022,6,13,00,34,50.6,38,57.8,144,40.0,13,1.7,三陸沖
2022,6,13,00,37,14.2,36,34.9,139,32.0,7,0.0,栃木県南部
2022,6,13,00,38,27.8,31,51.3,131,41.1,43,0.5,日向灘
2022,6,13,00,38,30.8,37,50.5,141,34.0,47,0.9,福島県沖
2022,6,13,00,38,51.5,38,57.1,144,41.1,10,1.8,三陸沖
2022,6,13,00,40,20.1,37,30.6,137,15.0,13,1.6,石川県能登地方
2022,6,13,00,41,52.9,39,37.8,142,5.9,46,0.7,岩手県沖
2022,6,13,00,42,28.9,39,1.4,140,53.0,9,0.4,岩手県内陸南部
2022,6,13,00,43,10.7,33,4.7,132,4.7,9,0.1,豊後水道
2022,6,13,00,45,21.0,44,22.7,146,56.2,106,2.3,択捉島付近
2022,6,13,00,46,3.9,37,57.2,141,43.7,58,1.4,宮城県沖
2022,6,13,00,47,8.8,33,48.8,135,9.6,43,0.5,紀伊水道
2022,6,13,00,50,31.0,29,54.7,130,1.2,105,2.1,トカラ列島近海
2022,6,13,00,54,50.2,31,17.9,130,37.2,10,-0.2,鹿児島県薩摩地方
