年,月,日,時,分,秒,緯度(度),緯度(分),経度(度),経度(分),深さ(km),Ｍ,震央地名
2022,6,3,00,00,29.4,26,7.3,127,37.6,44,2.0,沖縄本島近海
2022,6,3,00,02,18.4,34,7.7,135,21.1,7,0.7,和歌山県北部
2022,6,3,00,02,46.6,33,24.4,140,32.4,32,1.6,八丈島東方沖
2022,6,3,00,02,52.0,38,45.3,141,39.3,64,0.7,宮城県沖
2022,6,3,00,03,1.8,26,59.6,127,5.9,98,0.8,沖縄本島北西沖
2022,6,3,00,03,20.4,37,25.4,141,55.4,39,1.3,福島県沖
2022,6,3,00,04,52.2,31,37.1,131,50.3,28,0.7,日向灘
2022,6,3,00,05,36.0,37,57.8,141,56.1,42,0.9,宮城県沖
2022,6,3,00,06,1.1,32,41.1,135,47.4,34,1.7,和歌山県南方沖
2022,6,3,00,11,56.4,37,31.4,137,13.1,9,0.5,能登半島沖
2022,6,3,00,15,30.6,36,16.9,140,50.2,44,1.0,茨城県沖
2022,6,3,00,20,10.1,32,12.1,130,24.7,11,0.1,熊本県天草・芦北地方
2022,6,3,00,21,2.9,34,9.2,133,47.2,11,0.3,香川県西部
2022,6,3,00,22,25.3,37,30.9,137,12.6,13,3.3,石川県能登地方
2022,6,3,00,27,29.1,35,24.3,133,50.4,11,-0.1,鳥取県中部
2022,6,3,00,28,10.0,37,49.4,141,36.5,49,1.7,福島県沖
2022,6,3,00,33,30.8,24,52.0,122,52.2,33,2.8,与那国島近海
2022,6,3,00,34,4.3,35,24.2,133,50.2,11,-0.2,鳥取県中部
2022,6,3,00,35,4.3,33,43.0,135,6.4,38,0.2,紀伊水道
2022,6,3,00,35,15.0,35,24.2,133,50.7,11,0.5,鳥取県中部
2022,6,3,00,36,0.3,32,40.2,130,46.0,12,0.3,熊本県熊本地方
2022,6,3,00,38,36.7,32,41.7,132,1.5,41,0.4,日向灘
2022,6,3,00,43,42.7,33,47.9,135,20.8,10,0.2,和歌山県北部
2022,6,3,00,46,46.0,35,24.2,133,50.7,11,0.5,鳥取県中部
2022,6,3,00,47,13.6,35,58.9,143,9.0,29,1.2,関東東方沖
2022,6,3,00,48,24.5,42,52.2,143,34.0,117,0.8,十勝地方中部
2022,6,3,00,48,40.9,37,9.1,140,38.8,7,0.9,福島県中通り
2022,6,3,00,50,45.8,37,50.5,141,35.7,50,1.2,福島県沖
2022,6,3,00,51,24.7,37,30.5,137,13.5,12,0.4,石川県能登地方
2022,6,3,00,51,52.4,33,4.5,132,39.3,11,0.0,愛媛県南予
2022,6,3,00,52,22.0,37,59.3,141,43.6,56,0.8,宮城県沖
2022,6,3,00,52,41.9,31,57.6,129,56.1,9,0.4,天草灘
2022,6,3,00,52,54.5,32,56.8,141,39.9,54,2.1,八丈島東方沖
2022,6,3,00,55,14.5,38,51.6,144,39.9,21,2.7,三陸沖
2022,6,3,00,57,4.8,34,58.2,136,41.9,14,0.5,伊勢湾
2022,6,3,00,59,16.6,36,41.5,137,57.1,12,-0.6,長野県北部
2022,6,3,01,00,7.1,29,34.5,130,45.9,18,1.1,奄美大島北東沖
2022,6,3,01,01,6.9,36,21.5,137,37.0,2,2.8,岐阜県飛騨地方
2022,6,3,01,09,7.7,36,21.4,137,37.2,5,-0.2,岐阜県飛騨地方
2022,6,3,01,10,25.9,35,44.2,140,56.6,32,1.0,千葉県東方沖
2022,6,3,01,10,51.5,37,30.9,137,17.6,12,0.5,石川県能登地方
2022,6,3,01,11,40.8,39,44.0,140,48.5,6,0.0,岩手県内陸北部
2022,6,3,01,13,20.2,36,20.8,137,36.9,7,-0.3,岐阜県飛騨地方
2022,6,3,01,13,20.6,32,41.9,132,2.8,38,0.2,日向灘
2022,6,3,01,13,38.0,36,46.0,140,34.4,9,0.3,茨城県北部
2022,6,3,01,14,7.3,38,34.7,139,26.6,9,1.6,新潟県下越沖
2022,6,3,01,17,22.9,29,36.8,130,45.4,33,1.7,奄美大島北東沖
2022,6,3,01,17,27.6,36,22.0,137,36.9,5,0.1,岐阜県飛騨地方
2022,6,3,01,18,34.7,42,48.0,145,38.7,41,1.4,釧路沖
2022,6,3,01,18,57.4,38,52.3,144,41.4,22,1.8,三陸沖
2022,6,3,01,19,0.1,37,30.8,137,12.0,12,0.5,石川県能登地方
2022,6,3,01,22,32.0,36,21.4,137,37.3,2,1.1,岐阜県飛騨地方
2022,6,3,01,23,21.6,32,20.4,130,28.2,11,-0.4,熊本県天草・芦北地方
2022,6,3,01,24,40.1,34,12.1,135,6.3,8,0.5,紀伊水道
2022,6,3,01,24,44.9,36,21.6,137,37.0,6,-0.3,岐阜県飛騨地方
2022,6,3,01,24,53.2,37,26.6,141,51.5,42,3.0,福島県沖
2022,6,3,01,28,7.4,36,20.9,137,37.1,6,-0.3,岐阜県飛騨地方
2022,6,3,01,31,11.7,38,58.9,140,34.2,2,0.3,秋田県内陸南部
2022,6,3,01,31,20.4,33,11.5,131,59.9,54,0.5,豊後水道
2022,6,3,01,32,28.9,37,9.8,138,14.3,28,0.5,新潟県上越地方
2022,6,3,01,32,44.6,33,15.7,131,5.3,10,0.0,大分県西部
2022,6,3,01,32,57.8,34,11.5,135,23.9,8,-0.3,和歌山県北部
2022,6,3,01,32,58.5,34,44.0,138,33.2,23,0.7,駿河湾
2022,6,3,01,33,19.1,37,54.3,141,50.6,50,1.1,宮城県沖
2022,6,3,01,40,0.3,37,5.9,141,14.3,71,1.2,福島県沖
2022,6,3,01,40,6.0,37,40.5,141,36.1,53,1.2,福島県沖
2022,6,3,01,41,4.6,36,57.8,142,11.6,5,1.5,福島県沖
2022,6,3,01,42,34.2,33,38.1,135,9.1,41,0.5,和歌山県南方沖
2022,6,3,01,42,54.3,37,57.6,141,43.9,59,0.9,宮城県沖
2022,6,3,01,43,5.6,36,21.5,137,37.2,2,0.8,岐阜県飛騨地方
2022,6,3,01,47,5.7,25,0.2,122,53.5,7,1.8,石垣島北西沖
2022,6,3,01,47,7.1,35,49.0,137,28.9,8,-0.1,長野県南部
2022,6,3,01,48,33.9,37,30.9,137,13.8,12,0.6,石川県能登地方
2022,6,3,01,49,34.5,34,18.3,135,24.3,8,0.0,和歌山県北部
2022,6,3,01,49,38.8,37,29.6,137,12.4,10,0.5,石川県能登地方
2022,6,3,01,55,40.8,37,49.6,141,36.2,49,1.2,福島県沖
2022,6,3,01,59,10.5,35,2.0,135,34.4,12,0.6,京都府南部
2022,6,3,02,01,26.3,28,34.7,129,40.0,25,0.6,奄美大島近海
2022,6,3,02,03,9.8,37,28.5,137,12.0,13,0.5,石川県能登地方
2022,6,3,02,05,12.1,35,41.9,140,38.0,50,1.3,千葉県北東部
2022,6,3,02,09,8.3,35,11.5,136,32.1,6,0.1,三重県北部
2022,6,3,02,10,33.5,39,49.3,142,21.1,9,0.8,岩手県沖
2022,6,3,02,11,4.2,37,29.6,137,12.2,10,0.2,石川県能登地方
2022,6,3,02,14,11.3,43,18.1,146,39.7,70,1.8,北海道東方沖
2022,6,3,02,15,52.9,24,53.0,122,54.3,29,1.6,与那国島近海
2022,6,3,02,16,2.1,38,24.0,142,12.8,28,1.1,宮城県沖
2022,6,3,02,16,51.6,37,29.9,137,14.3,15,0.7,石川県能登地方
2022,6,3,02,17,11.0,35,23.7,133,50.7,10,0.2,鳥取県中部
2022,6,3,02,22,35.9,35,52.5,137,50.6,12,0.2,長野県中部
2022,6,3,02,24,24.1,36,21.7,137,37.2,4,0.2,岐阜県飛騨地方
2022,6,3,02,25,43.7,31,15.2,129,56.3,2,1.3,薩摩半島西方沖
2022,6,3,02,25,52.9,37,56.2,141,48.6,54,0.9,宮城県沖
