年,月,日,時,分,秒,緯度(度),緯度(分),経度(度),経度(分),深さ(km),Ｍ,震央地名
2022,6,11,00,02,25.4,34,22.8,131,27.2,12,0.2,山口県北部
2022,6,11,00,02,44.2,35,47.1,136,52.1,10,0.0,岐阜県美濃中西部
2022,6,11,00,02,47.4,32,1.7,131,40.8,34,1.2,日向灘
2022,6,11,00,03,42.5,37,42.3,142,11.9,35,1.5,福島県沖
2022,6,11,00,04,29.8,41,27.0,142,19.2,52,1.6,青森県東方沖
2022,6,11,00,05,2.3,26,48.8,126,24.6,26,2.5,沖縄本島北西沖
2022,6,11,00,05,29.6,33,58.6,136,48.3,13,0.8,三重県南東沖
2022,6,11,00,05,39.0,35,58.1,141,11.2,11,1.5,茨城県沖
2022,6,11,00,12,49.5,39,34.3,140,41.7,10,0.1,秋田県内陸南部
2022,6,11,00,14,47.0,37,30.5,137,13.1,13,0.7,石川県能登地方
2022,6,11,00,19,34.8,37,41.2,141,38.2,54,0.6,福島県沖
2022,6,11,00,23,3.2,31,58.0,130,30.9,6,-0.2,鹿児島県薩摩地方
2022,6,11,00,23,18.7,34,58.8,133,9.8,11,0.3,広島県北部
2022,6,11,00,29,57.6,42,9.4,142,46.3,55,0.8,浦河沖
2022,6,11,00,32,35.4,40,13.7,141,58.2,61,1.0,岩手県沖
2022,6,11,00,32,45.6,32,44.6,130,43.5,11,-0.2,熊本県熊本地方
2022,6,11,00,32,57.9,33,55.0,135,43.0,12,0.2,奈良県
2022,6,11,00,34,29.6,40,0.0,142,15.6,50,0.7,岩手県沖
2022,6,11,00,35,25.7,40,33.8,140,20.4,9,0.0,青森県津軽南部
2022,6,11,00,36,47.5,41,33.5,142,54.6,29,1.6,青森県東方沖
2022,6,11,00,37,28.7,37,31.4,141,46.8,53,0.8,福島県沖
2022,6,11,00,39,33.9,35,15.7,136,0.4,16,0.1,滋賀県南部
2022,6,11,00,42,52.2,33,54.0,134,27.9,10,0.4,徳島県南部
2022,6,11,00,42,57.2,37,42.6,142,12.3,34,1.3,福島県沖
2022,6,11,00,45,1.4,34,18.3,136,53.4,352,3.5,三重県南部
2022,6,11,00,50,7.1,33,52.0,135,34.5,41,-0.2,和歌山県南部
2022,6,11,00,53,42.2,42,54.7,143,10.5,117,1.5,十勝地方中部
2022,6,11,00,56,46.8,34,51.3,137,32.8,345,2.8,愛知県東部
2022,6,11,00,57,49.7,38,2.1,141,49.8,51,0.9,宮城県沖
2022,6,11,00,59,36.2,38,28.0,142,2.4,28,2.2,宮城県沖
2022,6,11,01,04,5.8,37,45.6,141,43.6,62,1.5,福島県沖
2022,6,11,01,07,8.8,37,29.6,137,14.9,17,1.3,石川県能登地方
2022,6,11,01,08,41.3,27,51.1,129,4.7,11,0.9,奄美大島近海
2022,6,11,01,10,9.5,36,2.6,139,55.3,26,0.1,茨城県南部
2022,6,11,01,10,9.8,26,57.7,130,13.3,49,2.4,奄美大島近海
2022,6,11,01,10,59.6,35,55.7,137,40.1,10,-0.4,長野県南部
2022,6,11,01,12,7.1,30,54.9,131,3.9,50,0.9,種子島近海
2022,6,11,01,14,39.6,37,49.1,141,59.3,11,1.3,宮城県沖
2022,6,11,01,14,54.7,32,45.2,129,56.0,10,0.1,長崎県南西部
2022,6,11,01,16,15.4,33,31.5,132,22.2,43,0.4,伊予灘
2022,6,11,01,17,36.9,37,50.4,141,41.0,57,1.0,福島県沖
2022,6,11,01,21,10.1,35,37.3,139,31.3,29,0.4,神奈川県東部
2022,6,11,01,21,43.2,32,48.4,130,32.6,9,0.0,有明海
2022,6,11,01,22,39.7,37,30.8,137,13.9,10,0.5,石川県能登地方
2022,6,11,01,25,30.2,37,50.3,141,40.4,56,0.7,福島県沖
2022,6,11,01,27,25.6,32,41.3,130,42.4,17,0.3,熊本県熊本地方
2022,6,11,01,29,50.1,38,53.0,141,38.1,69,0.3,宮城県沖
2022,6,11,01,34,26.4,37,50.8,141,34.1,47,0.5,福島県沖
2022,6,11,01,34,42.5,37,49.6,141,36.3,47,0.8,福島県沖
2022,6,11,01,34,54.9,38,25.8,141,58.2,12,1.0,宮城県沖
2022,6,11,01,35,27.7,32,46.6,132,15.3,39,0.5,日向灘
2022,6,11,01,36,57.8,35,9.9,132,35.8,9,0.3,島根県西部
2022,6,11,01,40,12.1,32,43.1,132,2.0,40,0.4,日向灘
2022,6,11,01,42,59.0,35,35.5,136,39.4,13,0.0,岐阜県美濃中西部
2022,6,11,01,46,6.3,36,55.7,138,34.9,8,0.4,長野県北部
2022,6,11,01,47,13.2,34,49.8,135,38.0,11,0.3,大阪府北部
2022,6,11,01,48,12.1,38,26.9,144,50.0,29,1.4,三陸沖
2022,6,11,01,53,20.1,37,8.5,142,9.4,19,1.4,福島県沖
2022,6,11,01,58,39.3,37,25.6,141,52.1,36,0.7,福島県沖
2022,6,11,02,04,24.9,37,51.3,141,36.4,47,0.8,福島県沖
2022,6,11,02,04,26.5,37,51.0,141,34.9,48,1.1,福島県沖
2022,6,11,02,05,7.0,37,57.7,142,31.1,22,1.7,宮城県沖
2022,6,11,02,05,34.4,39,46.0,142,16.4,36,0.8,岩手県沖
2022,6,11,02,06,57.8,36,46.6,138,25.0,8,0.2,長野県北部
2022,6,11,02,07,17.3,34,56.4,140,6.8,62,2.2,千葉県南東沖
2022,6,11,02,08,48.7,41,15.8,141,37.8,111,1.2,青森県東方沖
2022,6,11,02,09,14.3,31,58.5,130,30.7,8,0.4,鹿児島県薩摩地方
2022,6,11,02,09,49.2,37,31.3,137,16.3,12,0.6,石川県能登地方
2022,6,11,02,11,17.7,43,40.1,142,51.6,23,0.7,上川地方中部
2022,6,11,02,11,27.8,43,39.5,142,51.2,27,1.0,上川地方中部
2022,6,11,02,14,35.2,33,39.8,135,29.7,23,0.1,和歌山県南部
2022,6,11,02,15,31.8,35,0.2,138,16.7,19,-0.1,静岡県中部
2022,6,11,02,16,15.8,35,30.9,140,54.0,36,1.9,千葉県東方沖
2022,6,11,02,20,4.5,42,42.1,138,9.7,15,1.8,日本海北部
2022,6,11,02,21,4.0,35,59.9,139,48.1,107,0.7,埼玉県南部
2022,6,11,02,22,5.8,37,30.8,137,18.2,11,0.6,石川県能登地方
2022,6,11,02,22,50.1,31,46.8,131,59.1,33,1.4,日向灘
2022,6,11,02,31,39.1,37,49.8,141,34.8,47,1.1,福島県沖
2022,6,11,02,32,20.7,37,30.3,137,13.6,12,0.8,石川県能登地方
2022,6,11,02,33,56.9,37,30.5,137,16.7,10,0.0,石川県能登地方
