年,月,日,時,分,秒,緯度(度),緯度(分),経度(度),経度(分),深さ(km),Ｍ,震央地名
2022,6,17,00,01,41.0,35,55.9,140,26.4,28,0.3,茨城県南部
2022,6,17,00,03,35.6,37,58.3,141,48.1,51,1.0,宮城県沖
2022,6,17,00,05,2.8,32,13.0,130,27.1,9,0.7,熊本県天草・芦北地方
2022,6,17,00,05,30.4,27,36.0,129,29.8,35,1.7,奄美大島近海
2022,6,17,00,08,22.0,37,51.0,141,33.6,46,1.0,福島県沖
2022,6,17,00,13,59.9,37,14.9,141,27.9,44,1.2,福島県沖
2022,6,17,00,14,29.9,37,42.9,142,12.3,29,1.3,福島県沖
2022,6,17,00,15,27.1,37,43.0,142,12.1,33,2.4,福島県沖
2022,6,17,00,20,22.2,37,30.6,137,14.8,11,0.2,石川県能登地方
2022,6,17,00,20,46.1,32,12.8,129,59.7,12,0.2,天草灘
2022,6,17,00,26,31.4,28,22.0,129,32.9,27,0.0,奄美大島近海
2022,6,17,00,28,43.0,36,50.4,140,38.8,9,0.5,茨城県北部
2022,6,17,00,29,4.2,36,50.4,140,38.0,8,0.6,茨城県北部
2022,6,17,00,30,42.5,37,31.6,137,19.2,12,0.7,石川県能登地方
2022,6,17,00,30,46.7,37,43.0,142,12.2,33,1.9,福島県沖
2022,6,17,00,32,55.7,37,41.6,141,32.7,55,1.1,福島県沖
2022,6,17,00,33,23.0,37,30.8,137,12.3,10,0.5,石川県能登地方
2022,6,17,00,33,28.5,37,55.0,141,42.4,55,1.3,宮城県沖
2022,6,17,00,34,5.7,37,49.7,141,36.9,50,1.3,福島県沖
2022,6,17,00,35,15.7,35,35.5,141,0.9,11,1.6,千葉県東方沖
2022,6,17,00,41,35.4,37,10.0,136,43.8,287,-,石川県能登地方
2022,6,17,00,43,24.7,37,31.7,137,12.0,12,0.8,能登半島沖
2022,6,17,00,45,3.8,34,41.1,139,49.2,122,1.5,千葉県南東沖
2022,6,17,00,47,55.6,44,2.1,142,3.9,0,-0.3,留萌地方南部
2022,6,17,00,48,15.2,34,51.6,139,8.4,8,0.7,伊豆半島東方沖
2022,6,17,00,51,12.5,35,29.7,136,31.8,6,-0.3,岐阜県美濃中西部
2022,6,17,00,51,25.7,33,54.7,134,35.3,45,4.9,徳島県南部
2022,6,17,00,54,2.8,37,48.1,141,35.6,53,2.2,福島県沖
2022,6,17,00,57,53.1,33,38.3,132,34.8,40,0.5,愛媛県中予
2022,6,17,00,59,32.6,33,40.8,132,28.2,44,0.6,伊予灘
2022,6,17,00,59,53.8,33,52.9,134,46.0,39,0.6,紀伊水道
2022,6,17,01,00,50.6,37,50.9,141,33.9,47,0.9,福島県沖
2022,6,17,01,02,40.0,33,46.0,132,24.8,46,0.8,伊予灘
2022,6,17,01,03,29.1,37,17.1,141,32.8,36,1.2,福島県沖
2022,6,17,01,04,30.6,35,50.2,138,3.1,6,-0.3,長野県南部
2022,6,17,01,05,33.9,33,2.0,132,35.2,10,1.4,愛媛県南予
2022,6,17,01,06,21.2,37,14.0,141,26.4,13,1.2,福島県沖
2022,6,17,01,13,34.3,35,18.2,140,41.3,20,1.3,千葉県東方沖
2022,6,17,01,13,43.5,40,2.9,141,57.4,50,0.5,岩手県沖
2022,6,17,01,19,1.3,35,13.5,135,10.5,15,0.2,兵庫県南東部
2022,6,17,01,21,47.6,33,35.8,135,15.7,41,1.1,和歌山県南方沖
2022,6,17,01,23,17.2,40,48.6,145,2.7,26,1.0,三陸沖
2022,6,17,01,23,44.1,36,25.1,138,2.6,9,0.8,長野県中部
2022,6,17,01,24,22.1,39,29.4,142,40.1,24,1.3,岩手県沖
2022,6,17,01,26,25.3,33,22.2,142,16.1,45,3.8,八丈島東方沖
2022,6,17,01,26,46.0,36,36.8,140,24.2,62,0.3,茨城県北部
2022,6,17,01,27,2.9,37,43.8,142,24.1,24,1.6,福島県沖
2022,6,17,01,29,9.3,37,45.8,141,35.2,52,1.0,福島県沖
2022,6,17,01,31,34.6,37,47.6,141,39.4,55,1.5,福島県沖
2022,6,17,01,32,1.5,37,32.0,137,13.8,11,0.3,能登半島沖
2022,6,17,01,32,6.0,40,8.0,141,48.5,9,1.1,岩手県沿岸北部
2022,6,17,01,33,18.6,33,42.0,130,14.4,9,0.1,福岡県北西沖
2022,6,17,01,35,11.4,39,3.0,140,51.2,7,-0.2,岩手県内陸南部
2022,6,17,01,35,32.7,40,7.8,141,48.2,10,0.3,岩手県沿岸北部
2022,6,17,01,36,11.1,27,4.5,128,32.5,33,1.9,沖縄本島近海
2022,6,17,01,39,29.0,33,58.7,140,42.4,39,1.1,房総半島南方沖
2022,6,17,01,39,44.6,35,52.6,140,28.3,39,1.1,千葉県北東部
2022,6,17,01,41,3.7,37,31.4,137,13.2,12,0.6,能登半島沖
2022,6,17,01,42,54.3,35,49.2,137,22.3,8,0.1,長野県南部
2022,6,17,01,44,7.1,42,2.9,143,54.8,36,1.8,十勝沖
2022,6,17,01,48,30.7,37,4.5,142,14.9,14,1.5,福島県沖
2022,6,17,01,50,56.4,33,56.2,131,26.4,14,0.9,周防灘
2022,6,17,01,56,27.4,30,27.8,131,12.5,33,1.4,種子島近海
2022,6,17,01,56,50.8,36,47.3,140,51.7,65,0.7,茨城県沖
2022,6,17,01,56,56.5,35,54.9,137,37.3,8,-0.6,長野県南部
2022,6,17,01,58,53.4,36,25.3,138,2.6,8,-0.2,長野県中部
2022,6,17,01,59,38.7,34,22.6,134,39.7,12,1.1,播磨灘
2022,6,17,02,05,58.3,36,22.8,137,36.2,4,0.1,岐阜県飛騨地方
2022,6,17,02,06,2.4,34,56.0,135,37.4,9,0.2,京都府南部
2022,6,17,02,09,13.3,35,35.0,139,27.6,26,0.4,東京都多摩東部
2022,6,17,02,09,20.4,36,25.0,138,2.8,9,0.5,長野県中部
2022,6,17,02,10,6.4,37,30.4,137,13.8,12,0.9,石川県能登地方
2022,6,17,02,13,5.3,33,20.9,142,11.4,9,2.3,八丈島東方沖
2022,6,17,02,13,48.5,38,2.0,141,46.5,54,1.2,宮城県沖
2022,6,17,02,13,57.0,41,0.3,143,6.6,20,1.2,青森県東方沖
2022,6,17,02,14,47.7,39,57.4,140,53.6,6,0.8,岩手県内陸北部
2022,6,17,02,14,54.1,37,31.1,137,17.2,11,1.4,石川県能登地方
2022,6,17,02,18,4.1,34,2.3,133,3.0,12,1.2,瀬戸内海中部
2022,6,17,02,19,21.8,31,26.3,130,37.9,10,-0.1,鹿児島湾
2022,6,17,02,21,44.3,32,34.5,130,41.9,9,0.7,熊本県熊本地方
2022,6,17,02,23,23.4,34,1.0,133,6.7,17,0.8,瀬戸内海中部
2022,6,17,02,27,35.9,38,13.5,141,34.8,60,0.4,宮城県沖
2022,6,17,02,28,17.2,37,23.3,141,31.8,41,1.9,福島県沖
2022,6,17,02,28,24.9,35,16.9,140,40.9,16,1.5,千葉県東方沖
2022,6,17,02,28,48.6,33,7.6,130,26.5,13,1.1,福岡県筑後地方
2022,6,17,02,36,35.4,34,4.3,135,14.9,6,0.1,和歌山県北部
2022,6,17,02,37,25.6,42,33.7,143,27.1,53,1.1,十勝地方南部
2022,6,17,02,37,45.3,37,19.7,141,51.7,36,1.7,福島県沖
2022,6,17,02,39,13.6,36,12.4,137,55.1,9,-0.1,長野県中部
2022,6,17,02,39,58.7,25,36.6,128,47.3,50,2.2,沖縄本島近海
2022,6,17,02,45,0.6,35,2.9,135,35.6,15,0.3,京都府南部
2022,6,17,02,47,54.3,37,31.2,137,17.2,9,0.4,石川県能登地方
2022,6,17,02,49,27.7,37,30.1,137,17.0,11,0.3,石川県能登地方
