年,月,日,時,分,秒,緯度(度),緯度(分),経度(度),経度(分),深さ(km),Ｍ,震央地名
2022,6,15,00,12,43.1,35,56.6,140,18.8,41,1.6,茨城県南部
2022,6,15,00,14,16.1,37,30.6,137,13.9,12,1.1,石川県能登地方
2022,6,15,00,16,41.0,37,28.3,137,10.7,13,1.0,石川県能登地方
2022,6,15,00,17,2.1,34,12.5,135,7.3,6,1.2,紀伊水道
2022,6,15,00,17,21.4,37,49.7,141,36.3,49,1.5,福島県沖
2022,6,15,00,18,56.2,37,29.7,137,12.3,10,0.5,石川県能登地方
2022,6,15,00,20,13.9,37,31.2,137,16.6,12,1.7,石川県能登地方
2022,6,15,00,21,59.3,42,53.0,145,6.8,49,1.2,釧路沖
2022,6,15,00,24,36.1,37,31.6,137,16.3,11,0.4,石川県能登地方
2022,6,15,00,24,47.4,34,42.2,137,49.2,32,1.0,静岡県西部
2022,6,15,00,25,15.6,33,4.1,139,52.2,150,2.9,八丈島近海
2022,6,15,00,30,42.2,33,43.4,134,33.5,19,1.0,紀伊水道
2022,6,15,00,32,2.8,34,12.7,135,7.2,6,1.0,紀伊水道
2022,6,15,00,38,51.9,36,46.5,140,34.3,9,-0.1,茨城県北部
2022,6,15,00,40,57.8,37,32.2,137,15.4,15,0.5,能登半島沖
2022,6,15,00,44,27.1,37,10.5,140,28.7,7,0.9,福島県中通り
2022,6,15,00,44,40.1,37,51.0,141,34.7,47,0.9,福島県沖
2022,6,15,00,45,58.7,37,16.5,141,48.7,40,1.1,福島県沖
2022,6,15,00,46,50.5,37,30.4,137,14.8,12,0.3,石川県能登地方
2022,6,15,00,47,16.5,39,47.6,143,11.7,9,1.0,三陸沖
2022,6,15,00,49,34.5,34,8.2,134,49.4,14,0.9,紀伊水道
2022,6,15,00,51,3.2,36,28.5,141,18.8,28,1.6,茨城県沖
2022,6,15,00,51,15.8,37,27.5,137,15.8,12,0.3,石川県能登地方
2022,6,15,00,54,6.3,40,14.8,141,16.2,5,0.2,岩手県内陸北部
2022,6,15,00,56,4.9,40,7.8,141,48.0,7,0.7,岩手県沿岸北部
2022,6,15,00,56,6.1,40,6.7,142,6.6,47,0.7,岩手県沖
2022,6,15,00,56,34.8,38,52.1,141,39.8,64,0.6,宮城県沖
2022,6,15,00,57,42.0,38,57.9,142,23.4,28,1.1,宮城県沖
2022,6,15,01,00,31.3,37,2.5,138,5.3,5,0.4,新潟県上越地方
2022,6,15,01,04,12.0,37,50.3,141,36.4,48,0.9,福島県沖
2022,6,15,01,04,12.7,37,29.8,137,13.3,11,0.7,石川県能登地方
2022,6,15,01,07,8.8,37,31.8,137,15.5,9,0.2,石川県能登地方
2022,6,15,01,08,56.9,42,47.9,141,57.2,107,1.2,胆振地方中東部
2022,6,15,01,10,24.2,29,55.5,139,28.3,428,4.2,鳥島近海
2022,6,15,01,13,44.2,37,51.4,141,34.3,47,1.4,福島県沖
2022,6,15,01,15,1.0,31,17.1,131,8.7,53,1.4,大隅半島東方沖
2022,6,15,01,15,17.1,37,51.5,141,34.2,48,0.8,福島県沖
2022,6,15,01,17,36.6,36,45.3,140,33.9,9,-0.1,茨城県北部
2022,6,15,01,18,18.7,37,39.3,141,37.4,55,1.2,福島県沖
2022,6,15,01,22,17.2,36,45.0,140,34.7,9,0.6,茨城県北部
2022,6,15,01,23,18.6,37,29.7,137,12.2,10,0.3,石川県能登地方
2022,6,15,01,26,57.3,35,5.8,135,31.3,9,0.8,京都府南部
2022,6,15,01,27,8.5,34,5.7,135,23.9,6,0.7,和歌山県北部
2022,6,15,01,30,46.5,27,58.6,129,6.5,3,1.3,奄美大島近海
2022,6,15,01,32,5.9,37,45.9,141,35.5,54,1.4,福島県沖
2022,6,15,01,32,23.6,37,54.9,141,41.4,54,1.4,宮城県沖
2022,6,15,01,33,45.7,38,27.5,141,58.3,60,4.3,宮城県沖
2022,6,15,01,36,39.0,26,17.4,129,50.0,46,2.5,沖縄本島近海
2022,6,15,01,36,54.6,34,14.4,135,14.1,5,0.5,和歌山県北部
2022,6,15,01,39,8.3,35,11.6,135,6.1,14,1.0,兵庫県南東部
2022,6,15,01,39,29.7,35,21.4,133,15.7,13,0.4,島根県東部
