年,月,日,時,分,秒,緯度(度),緯度(分),経度(度),経度(分),深さ(km),Ｍ,震央地名
2022,6,19,00,02,5.7,37,30.9,137,12.0,9,0.6,石川県能登地方
2022,6,19,00,02,44.9,35,17.6,137,43.9,5,0.4,長野県南部
2022,6,19,00,08,14.4,38,4.9,142,24.1,26,1.5,宮城県沖
2022,6,19,00,08,43.4,41,47.6,141,24.8,97,1.5,苫小牧沖
2022,6,19,00,14,15.2,34,14.0,135,29.0,8,0.2,和歌山県北部
2022,6,19,00,16,26.3,37,30.5,137,11.3,11,0.3,能登半島沖
2022,6,19,00,19,30.2,36,35.3,137,49.8,18,0.0,長野県北部
2022,6,19,00,19,36.8,38,51.9,144,36.8,31,2.6,三陸沖
2022,6,19,00,23,59.0,36,21.7,137,37.5,1,0.3,岐阜県飛騨地方
2022,6,19,00,24,10.5,39,49.1,142,21.7,11,1.3,岩手県沖
2022,6,19,00,24,36.7,39,48.9,142,21.8,11,1.6,岩手県沖
2022,6,19,00,25,31.4,34,58.6,138,17.2,13,-0.1,静岡県中部
2022,6,19,00,26,40.0,37,37.2,134,40.9,411,2.3,日本海中部
2022,6,19,00,27,38.9,34,49.9,139,42.4,128,1.5,伊豆大島近海
2022,6,19,00,28,2.5,36,27.7,139,50.5,116,2.2,栃木県南部
2022,6,19,00,28,20.0,35,22.4,136,53.9,14,-0.1,愛知県西部
2022,6,19,00,28,36.8,33,1.1,130,33.6,8,-0.1,熊本県熊本地方
2022,6,19,00,30,12.8,41,16.4,141,22.7,89,0.4,青森県下北地方
2022,6,19,00,36,4.1,34,59.0,138,16.1,16,0.8,静岡県中部
2022,6,19,00,39,35.9,38,24.7,142,12.4,32,1.5,宮城県沖
2022,6,19,00,41,56.2,37,8.3,142,7.1,17,0.9,福島県沖
2022,6,19,00,42,23.8,35,51.6,140,43.0,29,0.3,茨城県南部
2022,6,19,00,44,40.9,28,2.6,130,18.3,54,1.5,奄美大島近海
2022,6,19,00,47,30.9,35,42.0,140,40.1,52,0.6,千葉県北東部
2022,6,19,00,49,35.2,41,49.5,143,19.2,26,0.7,十勝沖
2022,6,19,00,50,47.2,37,50.1,141,36.7,46,0.6,福島県沖
2022,6,19,00,52,20.0,38,57.1,144,43.5,36,1.7,三陸沖
2022,6,19,00,52,37.4,36,49.5,138,43.6,5,0.5,新潟県中越地方
2022,6,19,00,53,19.5,38,57.6,144,40.6,10,1.7,三陸沖
2022,6,19,00,55,9.2,42,51.8,144,55.0,51,1.2,釧路沖
2022,6,19,00,55,43.8,42,53.0,144,53.9,49,1.0,釧路沖
2022,6,19,00,55,58.6,24,6.8,123,43.5,20,1.7,西表島付近
2022,6,19,00,57,3.4,33,17.6,132,15.0,41,1.0,豊後水道
2022,6,19,00,57,26.2,36,22.0,137,37.6,3,-0.2,長野県北部
2022,6,19,00,57,49.1,35,30.8,138,58.1,24,0.1,山梨県東部・富士五湖
2022,6,19,00,58,1.1,32,58.1,132,32.0,31,0.1,愛媛県南予
2022,6,19,01,01,21.5,36,26.5,138,2.2,7,-0.2,長野県中部
2022,6,19,01,05,13.6,33,51.7,134,58.3,11,0.5,紀伊水道
2022,6,19,01,06,21.3,36,35.9,140,39.1,8,-0.1,茨城県北部
2022,6,19,01,07,3.1,33,19.6,134,0.3,16,0.4,土佐湾
2022,6,19,01,10,4.2,37,31.4,137,12.1,12,0.7,能登半島沖
2022,6,19,01,10,26.4,23,12.4,121,32.1,0,3.3,台湾付近
2022,6,19,01,11,9.4,37,31.9,142,39.3,8,0.7,福島県沖
2022,6,19,01,11,46.4,33,29.2,135,28.9,32,0.7,和歌山県南方沖
2022,6,19,01,15,54.0,37,30.7,137,14.1,13,0.2,石川県能登地方
2022,6,19,01,20,49.1,37,53.1,141,41.7,56,1.1,宮城県沖
2022,6,19,01,21,45.9,34,58.7,138,16.6,16,0.1,静岡県中部
2022,6,19,01,23,48.7,32,55.6,130,21.1,9,0.3,有明海
2022,6,19,01,28,4.5,27,59.4,130,22.4,35,1.6,奄美大島近海
2022,6,19,01,29,39.2,37,52.7,141,41.8,56,1.4,宮城県沖
2022,6,19,01,30,29.5,33,47.4,135,2.2,39,0.8,紀伊水道
2022,6,19,01,33,23.7,34,59.1,138,16.9,17,0.2,静岡県中部
2022,6,19,01,36,39.4,35,58.0,136,4.8,11,0.7,福井県嶺北
2022,6,19,01,36,45.8,37,54.2,141,38.4,50,0.6,宮城県沖
2022,6,19,01,38,22.4,36,9.4,140,4.8,49,0.8,茨城県南部
2022,6,19,01,38,56.7,43,23.3,142,52.9,7,0.4,十勝地方北部
2022,6,19,01,40,13.4,33,50.9,135,22.9,45,1.6,和歌山県北部
2022,6,19,01,41,55.9,35,40.0,140,47.8,17,0.8,千葉県東方沖
2022,6,19,01,42,20.2,35,33.3,140,52.6,15,0.7,千葉県東方沖
2022,6,19,01,42,39.3,34,6.6,139,58.3,18,1.3,房総半島南方沖
2022,6,19,01,43,26.5,35,26.6,140,16.8,18,0.6,千葉県北東部
2022,6,19,01,43,39.2,35,3.0,132,10.5,11,0.3,島根県沖
2022,6,19,01,44,54.3,37,32.0,137,17.9,11,2.0,能登半島沖
2022,6,19,01,45,9.8,42,10.4,142,32.1,30,0.1,浦河沖
2022,6,19,01,46,49.8,36,39.7,141,44.7,21,1.5,茨城県沖
2022,6,19,01,47,43.4,35,52.7,138,7.1,9,-0.3,長野県南部
2022,6,19,01,50,43.8,37,8.5,137,48.3,10,0.7,新潟県上中越沖
2022,6,19,01,51,9.2,35,48.3,140,12.9,60,0.3,千葉県北西部
2022,6,19,01,54,39.0,35,2.5,135,35.0,14,0.3,京都府南部
2022,6,19,01,55,44.1,36,48.3,138,6.3,0,0.1,長野県北部
