年,月,日,時,分,秒,緯度(度),緯度(分),経度(度),経度(分),深さ(km),Ｍ,震央地名
2022,6,6,00,02,0.5,37,53.6,141,41.9,56,1.2,宮城県沖
2022,6,6,00,02,37.5,42,32.0,145,3.4,25,1.2,釧路沖
2022,6,6,00,03,8.2,42,31.0,145,2.3,23,1.2,釧路沖
2022,6,6,00,06,28.0,36,4.8,139,45.0,55,0.6,埼玉県南部
2022,6,6,00,07,0.8,41,15.2,139,6.8,19,1.8,青森県西方沖
2022,6,6,00,07,3.7,40,16.6,142,6.6,46,1.3,岩手県沖
2022,6,6,00,07,53.9,35,31.4,138,59.1,23,0.2,山梨県東部・富士五湖
2022,6,6,00,13,53.9,37,47.7,141,34.5,51,1.4,福島県沖
2022,6,6,00,15,47.3,39,59.0,141,55.8,26,0.9,岩手県沿岸北部
2022,6,6,00,16,7.6,37,48.9,141,40.3,55,1.0,福島県沖
2022,6,6,00,16,35.1,37,48.0,141,46.8,51,0.7,福島県沖
2022,6,6,00,16,48.3,37,51.3,141,34.3,47,0.6,福島県沖
2022,6,6,00,19,10.3,36,39.0,139,19.9,12,0.6,群馬県北部
2022,6,6,00,21,10.6,39,49.1,142,15.9,32,1.6,岩手県沖
2022,6,6,00,21,54.6,36,28.2,141,15.4,32,1.1,茨城県沖
2022,6,6,00,22,18.8,31,19.2,130,43.3,8,1.3,鹿児島湾
2022,6,6,00,24,7.3,34,33.4,138,2.2,37,0.6,遠州灘
2022,6,6,00,25,45.6,28,17.6,128,9.1,15,1.9,奄美大島北西沖
2022,6,6,00,25,57.3,26,20.5,129,14.2,44,2.0,沖縄本島近海
2022,6,6,00,27,27.5,37,11.3,142,7.8,21,1.1,福島県沖
2022,6,6,00,30,9.2,28,17.2,128,8.1,15,2.4,奄美大島北西沖
2022,6,6,00,31,22.2,38,58.6,140,51.4,7,-0.1,岩手県内陸南部
2022,6,6,00,31,22.9,38,53.8,142,27.2,35,1.7,宮城県沖
2022,6,6,00,32,6.3,28,17.7,128,7.9,26,1.8,奄美大島北西沖
2022,6,6,00,33,25.4,35,1.2,143,1.8,31,1.4,関東東方沖
2022,6,6,00,36,12.5,37,58.5,141,40.0,49,1.6,宮城県沖
2022,6,6,00,37,1.4,28,18.3,128,5.5,24,1.6,奄美大島北西沖
2022,6,6,00,37,6.3,37,56.5,141,48.8,54,0.8,宮城県沖
2022,6,6,00,38,25.0,38,47.9,141,37.2,67,0.9,宮城県沖
2022,6,6,00,41,11.1,36,39.7,138,28.2,2,0.3,長野県北部
2022,6,6,00,42,45.4,36,40.1,138,27.6,3,0.5,長野県北部
