年,月,日,時,分,秒,緯度(度),緯度(分),経度(度),経度(分),深さ(km),Ｍ,震央地名
2022,6,16,00,00,16.2,33,48.3,132,50.0,13,0.5,愛媛県中予
2022,6,16,00,00,25.3,41,31.2,142,45.9,30,1.6,青森県東方沖
2022,6,16,00,01,31.8,33,48.3,132,50.2,13,0.6,愛媛県中予
2022,6,16,00,02,17.8,38,54.3,140,50.9,9,0.3,宮城県北部
2022,6,16,00,06,39.7,31,2.4,131,30.9,25,0.9,大隅半島東方沖
2022,6,16,00,07,3.5,36,48.2,141,22.1,7,1.3,茨城県沖
2022,6,16,00,11,27.5,36,1.9,140,4.5,64,2.1,茨城県南部
2022,6,16,00,11,34.9,37,29.9,137,13.9,13,1.4,石川県能登地方
2022,6,16,00,13,48.1,43,7.2,143,41.1,137,1.1,十勝地方中部
2022,6,16,00,15,26.3,37,28.8,141,32.4,44,1.1,福島県沖
2022,6,16,00,19,38.0,33,7.0,131,11.4,5,0.6,大分県西部
2022,6,16,00,20,25.6,33,6.3,131,12.6,8,0.1,大分県西部
2022,6,16,00,21,21.5,28,17.2,129,27.9,29,0.4,奄美大島近海
2022,6,16,00,22,45.6,34,57.0,138,15.1,23,0.3,静岡県中部
2022,6,16,00,29,48.1,38,55.7,140,52.4,7,0.4,宮城県北部
2022,6,16,00,31,4.6,37,36.8,142,7.3,33,0.8,福島県沖
2022,6,16,00,43,49.7,37,30.7,137,14.0,13,0.3,石川県能登地方
2022,6,16,00,44,19.6,37,30.3,137,15.2,12,0.5,石川県能登地方
2022,6,16,00,44,40.0,37,45.7,142,18.1,26,1.4,福島県沖
2022,6,16,00,45,52.2,34,54.7,135,38.4,11,2.9,大阪府北部
2022,6,16,00,47,29.1,27,59.9,129,7.8,12,1.6,奄美大島近海
2022,6,16,00,47,59.3,35,18.6,139,4.6,17,0.3,神奈川県西部
2022,6,16,00,49,32.2,37,7.7,139,56.6,3,0.6,栃木県北部
2022,6,16,00,56,11.4,37,30.1,137,17.5,12,0.5,石川県能登地方
2022,6,16,00,56,35.5,37,40.6,141,31.8,56,1.0,福島県沖
2022,6,16,00,57,47.0,37,31.6,137,13.7,12,1.8,能登半島沖
2022,6,16,00,59,35.5,28,18.7,129,16.9,36,0.6,奄美大島近海
2022,6,16,01,04,58.1,37,31.1,137,16.1,11,0.8,石川県能登地方
2022,6,16,01,05,42.0,37,32.0,137,13.5,14,0.8,能登半島沖
2022,6,16,01,06,31.5,37,32.6,137,13.1,12,1.0,能登半島沖
2022,6,16,01,13,56.4,36,47.3,140,34.0,8,0.9,茨城県北部
2022,6,16,01,14,3.5,37,32.7,137,12.8,11,0.7,能登半島沖
