年,月,日,時,分,秒,緯度(度),緯度(分),経度(度),経度(分),深さ(km),Ｍ,震央地名
2022,6,14,00,02,0.4,35,23.8,133,50.1,13,0.4,鳥取県中部
2022,6,14,00,03,15.6,37,42.1,141,35.0,54,2.5,福島県沖
2022,6,14,00,04,21.2,32,35.3,132,5.7,33,0.5,日向灘
2022,6,14,00,05,53.4,35,42.6,138,16.4,8,0.2,山梨県中・西部
2022,6,14,00,07,3.8,38,27.4,141,56.5,42,1.0,宮城県沖
2022,6,14,00,13,9.3,37,9.7,141,57.9,27,1.0,福島県沖
2022,6,14,00,13,58.2,35,26.5,133,49.9,7,0.6,鳥取県中部
2022,6,14,00,21,34.4,37,31.6,137,17.4,12,1.1,石川県能登地方
2022,6,14,00,31,2.2,35,15.4,133,21.7,7,0.7,鳥取県西部
2022,6,14,00,31,52.5,34,10.1,135,6.7,6,0.6,紀伊水道
2022,6,14,00,32,3.6,37,30.5,137,13.2,10,0.7,石川県能登地方
2022,6,14,00,32,25.4,36,25.8,138,1.9,12,-0.4,長野県中部
2022,6,14,00,33,21.3,38,57.8,144,41.6,10,1.2,三陸沖
2022,6,14,00,36,5.6,37,31.1,137,16.8,9,0.8,石川県能登地方
2022,6,14,00,39,31.0,37,44.9,141,43.5,63,1.5,福島県沖
2022,6,14,00,42,20.8,39,49.0,142,21.6,13,2.4,岩手県沖
2022,6,14,00,43,13.8,37,30.8,137,12.3,12,0.9,石川県能登地方
2022,6,14,00,43,35.6,35,2.4,135,35.1,14,0.5,京都府南部
2022,6,14,00,51,9.1,36,54.7,141,59.3,20,1.4,福島県沖
2022,6,14,00,53,40.8,37,37.7,141,34.7,51,1.1,福島県沖
2022,6,14,00,58,22.4,33,18.7,132,9.3,47,3.7,豊後水道
2022,6,14,00,58,45.4,35,49.8,140,52.2,24,1.4,千葉県東方沖
2022,6,14,00,59,46.0,37,17.1,141,52.7,39,3.4,福島県沖
2022,6,14,01,01,21.4,36,3.5,137,55.2,4,-0.6,長野県中部
2022,6,14,01,02,52.8,37,17.0,141,52.4,38,2.2,福島県沖
2022,6,14,01,03,9.0,39,49.2,142,21.5,13,2.3,岩手県沖
2022,6,14,01,05,8.2,34,47.6,141,52.7,33,1.3,関東東方沖
2022,6,14,01,06,43.1,39,48.9,142,21.7,12,2.1,岩手県沖
2022,6,14,01,07,1.9,32,37.4,130,41.3,8,0.1,熊本県熊本地方
2022,6,14,01,07,23.9,36,27.5,141,9.5,33,0.8,茨城県沖
2022,6,14,01,13,15.9,37,58.0,141,45.7,55,1.4,宮城県沖
2022,6,14,01,15,3.2,36,18.2,144,6.9,33,2.1,関東東方沖
2022,6,14,01,15,8.7,36,36.3,140,34.8,90,1.1,茨城県北部
2022,6,14,01,16,39.1,38,35.9,141,55.3,41,1.2,宮城県沖
2022,6,14,01,25,13.8,37,30.9,137,13.2,11,0.8,石川県能登地方
2022,6,14,01,25,33.4,35,15.6,135,59.5,15,0.3,滋賀県南部
2022,6,14,01,29,10.9,32,36.7,130,41.6,3,0.7,熊本県熊本地方
2022,6,14,01,32,11.3,38,59.1,144,40.3,10,1.4,三陸沖
2022,6,14,01,33,4.8,37,40.4,141,31.2,54,1.9,福島県沖
2022,6,14,01,37,7.3,36,48.7,138,43.6,6,0.7,新潟県中越地方
2022,6,14,01,43,30.6,36,25.0,138,3.0,8,-0.6,長野県中部
2022,6,14,01,45,26.3,32,39.8,131,18.1,10,0.0,宮崎県北部山沿い
2022,6,14,01,45,27.2,32,39.7,131,18.0,11,0.4,宮崎県北部山沿い
2022,6,14,01,49,44.8,44,34.5,149,3.9,30,3.9,択捉島南東沖
2022,6,14,01,57,36.5,37,16.4,141,53.5,36,0.9,福島県沖
2022,6,14,02,03,43.3,36,5.1,141,12.8,10,3.0,茨城県沖
2022,6,14,02,08,56.6,37,47.3,141,39.0,53,1.5,福島県沖
2022,6,14,02,11,26.6,31,10.8,130,22.2,158,1.9,薩摩半島西方沖
2022,6,14,02,14,34.6,32,27.0,130,37.0,12,0.3,熊本県熊本地方
2022,6,14,02,15,49.8,30,8.6,130,43.3,18,1.7,種子島近海
2022,6,14,02,18,6.4,37,32.0,137,15.0,13,0.7,能登半島沖
2022,6,14,02,18,18.8,37,12.9,142,9.7,21,1.1,福島県沖
2022,6,14,02,19,39.8,33,31.2,135,35.5,22,0.1,和歌山県南部
2022,6,14,02,20,0.3,35,17.4,135,59.5,16,0.1,滋賀県北部
2022,6,14,02,23,16.1,37,53.1,141,38.7,49,1.3,宮城県沖
2022,6,14,02,25,34.6,35,12.4,132,46.9,10,0.2,島根県東部
2022,6,14,02,26,35.1,38,57.1,144,41.0,8,1.0,三陸沖
2022,6,14,02,26,53.1,38,57.4,144,41.0,9,1.7,三陸沖
2022,6,14,02,28,10.4,37,53.9,141,39.0,50,0.9,宮城県沖
2022,6,14,02,31,47.6,38,53.6,142,26.7,31,0.6,宮城県沖
2022,6,14,02,31,59.2,39,49.2,142,21.8,9,1.3,岩手県沖
2022,6,14,02,35,24.9,34,12.0,135,24.9,7,0.3,和歌山県北部
2022,6,14,02,35,31.5,36,46.3,140,34.1,8,0.4,茨城県北部
2022,6,14,02,35,44.9,36,15.6,140,55.6,45,1.4,茨城県沖
2022,6,14,02,36,5.2,37,37.9,141,36.7,55,2.2,福島県沖
2022,6,14,02,37,15.6,33,41.1,133,56.2,32,0.3,高知県中部
2022,6,14,02,38,1.7,32,36.7,129,42.9,10,0.3,五島列島近海
2022,6,14,02,40,55.0,31,58.7,130,32.1,6,0.3,鹿児島県薩摩地方
2022,6,14,02,43,28.4,38,55.1,144,39.0,14,1.6,三陸沖
2022,6,14,02,52,45.5,32,46.3,131,19.1,12,0.8,宮崎県北部山沿い
2022,6,14,02,56,4.3,28,5.5,127,59.5,21,1.8,沖縄本島北西沖
2022,6,14,02,59,18.0,34,24.1,140,31.4,55,1.5,房総半島南方沖
2022,6,14,03,03,55.6,35,8.3,133,0.0,9,0.3,島根県東部
2022,6,14,03,04,31.0,33,55.3,135,43.0,12,-0.3,奈良県
2022,6,14,03,04,43.9,37,12.5,140,45.5,96,1.5,福島県浜通り
2022,6,14,03,06,38.4,35,9.1,135,32.5,9,0.8,京都府南部
2022,6,14,03,08,10.2,35,54.2,137,40.7,6,0.0,長野県南部
2022,6,14,03,11,52.8,37,45.3,141,34.9,53,1.5,福島県沖
2022,6,14,03,14,8.2,41,51.3,142,14.8,54,1.3,浦河沖
2022,6,14,03,16,1.1,43,3.7,144,32.4,27,1.0,釧路地方中南部
2022,6,14,03,16,33.8,37,51.6,141,35.5,49,1.2,福島県沖
2022,6,14,03,16,42.8,36,47.6,141,23.1,5,1.3,茨城県沖
2022,6,14,03,17,10.7,32,48.8,130,31.3,14,0.4,有明海
2022,6,14,03,17,25.7,37,23.0,139,47.0,9,0.9,福島県会津
2022,6,14,03,21,2.6,26,46.0,128,4.7,14,0.8,沖縄本島近海
2022,6,14,03,22,58.0,35,5.3,135,31.7,13,0.1,京都府南部
2022,6,14,03,23,40.6,37,49.9,141,36.4,49,1.6,福島県沖
2022,6,14,03,27,1.0,33,1.0,130,29.2,10,0.1,福岡県筑後地方
2022,6,14,03,29,43.5,39,50.9,142,1.1,22,1.0,岩手県沖
2022,6,14,03,33,27.3,38,57.7,142,26.0,30,1.2,宮城県沖
2022,6,14,03,33,29.8,37,51.1,141,46.6,49,1.0,宮城県沖
2022,6,14,03,37,8.6,36,27.0,140,46.6,24,1.5,茨城県沖
