年,月,日,時,分,秒,緯度(度),緯度(分),経度(度),経度(分),深さ(km),Ｍ,震央地名
2022,6,8,00,00,14.0,32,18.6,129,47.0,14,0.7,天草灘
2022,6,8,00,01,10.5,37,51.0,141,34.7,47,1.1,福島県沖
2022,6,8,00,03,41.7,31,7.9,131,25.7,39,1.7,大隅半島東方沖
2022,6,8,00,04,1.3,42,3.8,140,32.9,13,0.3,渡島地方東部
2022,6,8,00,05,13.2,35,16.0,135,40.6,6,0.8,京都府南部
2022,6,8,00,05,16.6,37,8.8,140,33.1,109,1.1,福島県中通り
2022,6,8,00,06,45.6,35,19.1,135,37.1,4,0.1,京都府南部
2022,6,8,00,14,39.9,31,8.5,131,26.2,39,0.6,大隅半島東方沖
2022,6,8,00,19,31.2,32,19.9,131,54.0,31,0.5,日向灘
2022,6,8,00,19,50.3,30,7.3,130,43.3,21,0.5,種子島近海
2022,6,8,00,20,41.5,35,0.8,137,48.5,18,0.4,静岡県西部
2022,6,8,00,22,18.0,35,0.9,137,48.5,18,0.5,静岡県西部
2022,6,8,00,24,2.2,37,46.2,141,35.5,55,0.9,福島県沖
2022,6,8,00,26,36.2,38,7.7,140,48.8,91,1.1,宮城県南部
2022,6,8,00,29,16.4,27,1.1,130,16.6,54,2.4,奄美大島近海
2022,6,8,00,29,50.1,34,37.2,140,37.4,44,1.2,千葉県南東沖
2022,6,8,00,34,43.7,30,8.0,130,43.2,20,0.4,種子島近海
2022,6,8,00,39,54.8,39,46.8,141,18.0,87,1.8,岩手県内陸北部
2022,6,8,00,41,41.0,24,26.6,122,54.9,55,1.6,与那国島近海
2022,6,8,00,43,40.4,28,19.6,129,29.6,19,0.2,奄美大島近海
2022,6,8,00,44,29.4,35,39.9,140,50.5,28,1.4,千葉県東方沖
2022,6,8,00,47,20.6,32,34.7,131,29.7,13,0.7,宮崎県北部平野部
2022,6,8,00,47,28.7,33,41.0,140,25.1,49,1.8,八丈島東方沖
2022,6,8,00,49,38.7,38,27.4,142,18.0,36,1.0,宮城県沖
2022,6,8,00,53,1.4,27,24.4,127,36.0,103,1.4,沖縄本島北西沖
2022,6,8,00,53,17.5,40,38.8,141,42.1,93,1.3,青森県東方沖
2022,6,8,00,55,52.2,37,49.8,141,37.1,48,1.2,福島県沖
2022,6,8,00,56,29.0,37,6.5,139,30.9,4,-0.1,福島県会津
2022,6,8,01,00,39.4,37,39.1,141,34.1,50,1.2,福島県沖
2022,6,8,01,01,24.4,37,7.5,141,42.5,37,1.3,福島県沖
2022,6,8,01,01,57.2,36,53.5,140,32.1,8,1.0,福島県中通り
2022,6,8,01,02,35.5,36,53.6,140,32.2,8,1.3,福島県中通り
2022,6,8,01,03,54.8,42,40.4,143,1.1,104,1.5,十勝地方中部
2022,6,8,01,04,40.6,36,19.8,137,59.6,9,0.2,長野県中部
2022,6,8,01,05,15.7,37,52.8,141,41.9,53,1.2,宮城県沖
2022,6,8,01,09,15.3,32,30.9,129,44.5,7,-0.2,天草灘
2022,6,8,01,15,50.5,33,58.4,136,56.7,38,2.9,三重県南東沖
2022,6,8,01,17,42.8,33,47.0,140,11.1,90,1.6,房総半島南方沖
2022,6,8,01,18,3.1,37,11.7,142,12.6,10,1.3,福島県沖
2022,6,8,01,20,53.7,28,34.1,129,8.5,68,1.5,奄美大島近海
2022,6,8,01,22,38.4,36,7.3,137,15.6,10,0.2,岐阜県飛騨地方
2022,6,8,01,22,59.9,36,6.2,137,41.3,7,0.4,長野県中部
2022,6,8,01,23,14.3,34,57.3,134,51.8,14,0.3,兵庫県南東部
2022,6,8,01,27,28.3,35,4.0,132,50.1,9,0.3,島根県東部
2022,6,8,01,28,49.3,37,51.1,141,39.2,59,0.9,福島県沖
2022,6,8,01,29,5.4,37,54.1,141,39.2,49,1.3,宮城県沖
2022,6,8,01,30,40.5,36,30.5,136,52.8,13,0.6,富山県西部
2022,6,8,01,33,55.5,37,46.3,141,34.9,51,0.9,福島県沖
2022,6,8,01,34,40.9,25,7.5,123,45.7,13,3.2,石垣島北西沖
2022,6,8,01,36,4.6,34,15.6,137,30.5,5,2.9,遠州灘
2022,6,8,01,36,46.4,34,13.9,132,5.9,10,0.1,山口県東部
2022,6,8,01,37,23.6,28,15.3,128,13.7,10,1.4,奄美大島北西沖
2022,6,8,01,45,55.6,34,5.7,135,5.7,7,0.6,紀伊水道
2022,6,8,01,53,33.2,36,5.1,136,12.8,11,1.1,福井県嶺北
2022,6,8,01,54,12.2,25,8.2,123,45.8,9,3.9,石垣島北西沖
2022,6,8,01,55,28.2,40,24.2,141,26.1,89,0.8,青森県三八上北地方
2022,6,8,01,57,26.4,34,55.1,135,37.6,12,1.4,大阪府北部
2022,6,8,02,03,47.3,33,42.3,135,21.5,39,1.0,紀伊水道
2022,6,8,02,05,4.7,36,18.9,141,30.5,27,2.1,茨城県沖
2022,6,8,02,05,55.1,37,50.8,141,34.9,48,1.6,福島県沖
2022,6,8,02,05,55.7,36,46.7,141,21.1,8,2.0,茨城県沖
2022,6,8,02,10,16.5,37,49.8,141,35.9,49,1.3,福島県沖
2022,6,8,02,14,24.3,37,49.3,141,36.1,49,2.4,福島県沖
2022,6,8,02,15,46.5,34,15.5,137,30.5,4,3.0,遠州灘
2022,6,8,02,17,58.1,25,8.7,123,46.4,21,2.3,石垣島北西沖
2022,6,8,02,18,55.1,25,7.7,123,46.4,19,1.5,石垣島北西沖
2022,6,8,02,19,10.0,25,6.0,123,46.9,18,1.9,石垣島北西沖
2022,6,8,02,20,21.0,25,8.3,123,46.7,24,1.9,石垣島北西沖
2022,6,8,02,21,6.5,37,6.3,139,27.4,7,0.4,福島県会津
2022,6,8,02,22,30.7,35,50.6,139,36.0,55,2.2,埼玉県南部
2022,6,8,02,22,32.8,41,21.2,143,56.8,19,1.3,十勝沖
