年,月,日,時,分,秒,緯度(度),緯度(分),経度(度),経度(分),深さ(km),Ｍ,震央地名
2022,6,7,00,02,59.1,37,41.9,141,36.8,57,1.7,福島県沖
2022,6,7,00,07,6.7,39,14.6,142,24.1,31,1.1,岩手県沖
2022,6,7,00,07,40.7,28,4.9,129,47.8,48,0.9,奄美大島近海
2022,6,7,00,10,58.9,42,0.1,139,22.9,12,1.9,北海道南西沖
2022,6,7,00,17,12.1,36,26.3,138,1.8,9,0.9,長野県中部
2022,6,7,00,23,54.0,36,35.0,139,29.4,8,0.0,栃木県南部
2022,6,7,00,26,36.9,34,52.7,132,44.6,12,0.7,広島県北部
2022,6,7,00,28,31.6,36,34.6,139,25.3,6,-0.3,群馬県南部
2022,6,7,00,29,8.5,35,54.6,140,45.2,18,1.3,茨城県沖
2022,6,7,00,29,48.6,40,26.9,141,29.3,119,1.5,青森県三八上北地方
2022,6,7,00,33,28.4,36,14.5,137,55.0,12,0.2,長野県中部
2022,6,7,00,35,35.2,36,46.3,138,33.8,0,0.3,長野県北部
2022,6,7,00,36,4.5,26,46.8,126,21.5,36,1.6,沖縄本島北西沖
2022,6,7,00,37,56.3,37,50.4,141,36.3,50,3.7,福島県沖
2022,6,7,00,44,9.8,23,48.9,122,47.9,40,3.2,与那国島近海
2022,6,7,00,44,51.6,43,20.6,142,37.4,174,1.8,上川地方南部
2022,6,7,00,45,52.2,37,44.7,141,36.0,58,1.3,福島県沖
2022,6,7,00,46,14.8,26,47.2,126,23.5,26,1.8,沖縄本島北西沖
2022,6,7,00,47,9.9,37,55.2,141,43.0,58,2.2,宮城県沖
2022,6,7,00,51,48.8,36,10.7,138,1.3,9,-0.3,長野県中部
2022,6,7,00,54,35.1,34,59.2,138,14.5,23,0.5,静岡県中部
2022,6,7,00,55,38.4,34,54.8,135,29.0,9,0.8,大阪府北部
2022,6,7,00,55,49.3,33,13.6,137,9.3,37,2.1,三重県南東沖
2022,6,7,00,58,50.3,36,49.9,138,33.0,0,1.1,長野県北部
2022,6,7,00,59,15.6,34,27.0,141,30.9,11,2.4,関東東方沖
2022,6,7,00,59,38.0,36,49.7,138,32.2,0,0.7,長野県北部
2022,6,7,01,01,33.6,36,13.0,136,6.5,13,1.6,福井県沖
2022,6,7,01,06,3.9,32,26.3,130,33.5,10,0.6,熊本県天草・芦北地方
2022,6,7,01,08,11.0,32,55.4,132,7.3,39,0.5,豊後水道
2022,6,7,01,10,20.3,44,49.7,141,56.5,19,0.7,留萌地方中北部
2022,6,7,01,13,15.3,36,14.2,141,4.0,39,1.5,茨城県沖
2022,6,7,01,14,41.8,41,1.5,142,46.4,20,1.5,青森県東方沖
2022,6,7,01,18,10.6,34,54.9,137,4.0,8,0.3,愛知県西部
2022,6,7,01,19,21.4,35,44.0,140,11.5,64,0.9,千葉県北西部
2022,6,7,01,20,42.9,37,47.6,142,20.1,29,1.4,福島県沖
2022,6,7,01,22,59.1,37,4.1,142,13.2,18,2.2,福島県沖
2022,6,7,01,23,57.8,34,5.7,135,23.9,7,0.5,和歌山県北部
2022,6,7,01,25,38.5,37,39.4,138,37.9,24,1.7,新潟県上中越沖
2022,6,7,01,27,33.4,37,25.5,141,55.7,39,0.9,福島県沖
2022,6,7,01,30,42.9,44,47.0,141,49.3,25,0.2,留萌地方中北部
2022,6,7,01,34,2.7,26,5.2,127,29.5,23,2.0,沖縄本島近海
2022,6,7,01,34,39.2,30,58.8,130,27.5,121,1.9,種子島近海
2022,6,7,01,35,25.2,37,4.6,139,21.5,9,0.6,福島県会津
2022,6,7,01,35,43.7,34,15.2,141,31.4,9,2.2,関東東方沖
2022,6,7,01,45,44.5,43,59.5,146,0.0,157,2.4,国後島付近
2022,6,7,01,47,14.7,36,3.3,137,35.6,8,0.4,岐阜県飛騨地方
2022,6,7,01,47,16.0,38,13.5,142,28.0,26,1.9,宮城県沖
2022,6,7,01,52,1.6,37,19.1,141,51.4,38,1.9,福島県沖
2022,6,7,02,00,25.4,33,12.9,135,51.0,21,1.2,和歌山県南方沖
2022,6,7,02,00,58.7,35,18.7,133,18.7,7,0.7,島根県東部
2022,6,7,02,04,35.2,37,30.4,137,11.7,12,1.2,能登半島沖
2022,6,7,02,04,59.6,35,18.2,133,18.7,7,0.8,島根県東部
2022,6,7,02,08,9.5,27,35.3,128,58.6,43,1.2,奄美大島近海
2022,6,7,02,08,58.8,34,4.5,135,23.3,6,0.1,和歌山県北部
2022,6,7,02,14,25.6,32,30.0,129,47.4,14,0.3,天草灘
2022,6,7,02,16,11.9,33,1.4,130,32.7,9,0.3,熊本県熊本地方
2022,6,7,02,17,38.2,29,22.1,128,37.4,21,2.2,奄美大島北西沖
2022,6,7,02,21,49.0,37,31.5,137,13.4,12,1.2,能登半島沖
2022,6,7,02,25,35.2,37,51.9,141,35.4,51,1.0,福島県沖
2022,6,7,02,33,28.0,39,3.5,140,52.8,9,0.7,岩手県内陸南部
2022,6,7,02,34,3.6,24,18.1,122,59.2,45,1.6,与那国島近海
2022,6,7,02,36,32.1,34,47.9,140,35.8,29,1.6,千葉県南東沖
2022,6,7,02,38,31.2,36,5.4,137,19.2,10,0.1,岐阜県飛騨地方
2022,6,7,02,39,48.6,37,30.5,137,13.0,11,0.6,石川県能登地方
2022,6,7,02,40,29.7,37,27.4,137,9.3,11,2.2,石川県能登地方
2022,6,7,02,41,45.4,35,23.8,133,50.6,8,0.6,鳥取県中部
2022,6,7,02,44,29.1,37,30.7,137,13.3,12,0.6,石川県能登地方
2022,6,7,02,44,35.1,37,27.9,137,8.9,11,1.0,石川県能登地方
2022,6,7,02,58,17.5,35,43.6,140,12.6,65,1.5,千葉県北西部
2022,6,7,02,58,50.6,31,48.8,130,19.3,8,0.6,鹿児島県薩摩地方
2022,6,7,02,58,59.6,39,5.2,144,26.5,23,1.5,三陸沖
2022,6,7,03,00,25.3,37,50.4,142,4.3,38,2.3,宮城県沖
2022,6,7,03,00,59.0,33,32.3,140,42.7,47,3.5,八丈島東方沖
2022,6,7,03,07,32.9,44,48.9,141,57.0,20,0.6,留萌地方中北部
2022,6,7,03,09,33.1,37,30.7,137,12.8,13,1.4,石川県能登地方
2022,6,7,03,09,53.2,39,27.5,141,41.4,8,0.3,岩手県沿岸北部
2022,6,7,03,13,53.2,35,27.4,135,53.6,12,0.8,福井県嶺南
2022,6,7,03,15,0.5,37,53.7,142,30.1,22,2.1,宮城県沖
2022,6,7,03,16,39.5,37,58.0,141,39.5,48,1.5,宮城県沖
2022,6,7,03,18,17.0,28,29.8,128,45.1,72,2.2,トカラ列島近海
2022,6,7,03,22,50.2,36,14.7,138,4.6,2,-0.4,長野県中部
2022,6,7,03,23,30.3,43,1.9,142,6.7,155,1.4,空知地方南部
2022,6,7,03,24,23.1,33,32.1,140,43.6,46,1.9,八丈島東方沖
2022,6,7,03,24,51.7,34,38.1,137,52.7,35,1.0,遠州灘
2022,6,7,03,25,48.8,37,6.6,142,14.1,16,1.5,福島県沖
2022,6,7,03,26,26.7,35,1.8,137,22.8,39,0.7,愛知県西部
2022,6,7,03,32,35.7,33,32.0,140,42.9,43,2.3,八丈島東方沖
2022,6,7,03,33,0.7,33,31.5,140,44.0,46,3.2,八丈島東方沖
2022,6,7,03,33,57.2,34,52.7,132,44.5,13,0.8,広島県北部
2022,6,7,03,38,34.4,38,52.8,142,26.0,34,1.4,宮城県沖
2022,6,7,03,38,56.9,37,49.4,141,36.8,49,2.5,福島県沖
2022,6,7,03,40,40.0,40,19.1,143,51.0,18,2.5,三陸沖
2022,6,7,03,42,7.0,37,51.1,141,35.0,48,1.9,福島県沖
2022,6,7,03,44,44.4,41,54.2,139,19.8,7,2.2,北海道南西沖
2022,6,7,03,45,0.5,34,54.0,136,50.3,37,1.1,愛知県西部
2022,6,7,03,50,17.1,38,53.0,142,26.0,33,1.3,宮城県沖
2022,6,7,03,57,58.2,41,48.9,139,58.1,13,1.1,北海道南西沖
2022,6,7,04,02,31.4,37,53.0,141,41.6,54,1.5,宮城県沖
2022,6,7,04,04,22.2,33,33.6,140,41.9,51,1.0,八丈島東方沖
2022,6,7,04,10,38.8,37,44.7,141,4.4,64,1.8,福島県沖
2022,6,7,04,12,3.6,37,51.2,141,34.9,47,1.3,福島県沖
2022,6,7,04,20,46.2,32,54.7,133,51.4,12,1.3,四国沖
2022,6,7,04,22,21.5,34,19.7,133,24.3,14,1.9,瀬戸内海中部
2022,6,7,04,30,53.4,33,56.6,135,14.8,6,0.7,和歌山県北部
2022,6,7,04,33,43.2,35,45.8,138,49.6,152,1.7,山梨県中・西部
2022,6,7,04,35,42.9,37,27.5,137,9.2,10,0.9,石川県能登地方
2022,6,7,04,38,28.8,42,6.5,140,40.7,9,1.4,渡島地方東部
2022,6,7,04,51,6.2,33,53.7,135,6.0,7,0.4,紀伊水道
2022,6,7,04,51,9.5,34,26.1,141,35.4,6,2.0,関東東方沖
2022,6,7,04,53,15.3,42,27.9,142,34.2,31,0.5,日高地方中部
2022,6,7,04,54,5.1,37,51.2,141,38.6,51,2.6,福島県沖
2022,6,7,04,55,13.5,37,24.0,141,57.9,33,1.8,福島県沖
2022,6,7,05,06,34.0,36,23.4,141,3.6,30,1.9,茨城県沖
2022,6,7,05,08,6.5,35,2.8,135,33.9,12,0.7,京都府南部
2022,6,7,05,14,27.3,25,29.4,127,31.3,17,1.9,沖縄本島近海
2022,6,7,05,17,57.0,28,7.7,129,13.7,13,0.9,奄美大島近海
2022,6,7,05,25,18.3,30,36.0,131,6.9,30,1.4,種子島近海
2022,6,7,05,29,9.5,24,20.7,123,26.9,20,1.2,西表島付近
2022,6,7,05,31,38.1,33,55.8,135,17.5,8,0.1,和歌山県北部
2022,6,7,05,32,33.3,31,59.0,130,30.2,8,0.2,鹿児島県薩摩地方
2022,6,7,05,33,57.0,32,32.4,132,35.2,23,0.8,四国沖
2022,6,7,05,36,25.5,42,52.6,144,31.9,52,1.2,釧路沖
2022,6,7,05,45,16.3,32,42.6,132,3.1,40,0.8,日向灘
2022,6,7,05,45,17.0,36,11.8,137,52.0,8,0.1,長野県中部
2022,6,7,05,45,31.8,37,29.8,137,12.6,11,1.4,石川県能登地方
2022,6,7,05,48,3.6,39,59.7,140,34.1,4,0.6,秋田県内陸北部
2022,6,7,05,50,59.3,38,27.2,144,18.4,24,1.6,三陸沖
2022,6,7,05,54,30.3,37,12.1,141,24.2,10,2.4,福島県沖
2022,6,7,05,54,31.8,37,29.6,137,12.3,11,1.1,石川県能登地方
2022,6,7,05,55,56.7,34,49.1,140,3.7,77,1.2,千葉県南東沖
2022,6,7,05,56,2.5,37,54.0,142,29.9,21,1.6,宮城県沖
2022,6,7,05,56,50.6,39,6.9,142,24.1,27,1.0,岩手県沖
2022,6,7,05,59,11.5,34,9.2,135,36.7,60,0.6,和歌山県北部
2022,6,7,06,00,6.6,35,59.9,138,5.6,9,0.2,長野県中部
2022,6,7,06,00,26.9,37,11.0,142,0.8,25,1.4,福島県沖
2022,6,7,06,01,40.3,37,29.9,137,12.0,12,1.0,石川県能登地方
2022,6,7,06,10,24.7,33,13.6,137,9.2,37,1.4,三重県南東沖
2022,6,7,06,11,39.0,35,27.0,139,0.3,25,0.6,神奈川県西部
2022,6,7,06,13,21.1,37,53.0,141,42.5,53,2.0,宮城県沖
2022,6,7,06,20,4.8,33,2.6,141,44.9,14,2.5,八丈島東方沖
2022,6,7,06,22,39.3,40,3.4,142,2.9,35,-,岩手県沖
2022,6,7,06,25,2.2,41,55.2,142,19.2,68,3.1,浦河沖
2022,6,7,06,25,49.2,35,43.2,140,53.9,12,1.8,千葉県東方沖
2022,6,7,06,35,30.5,37,50.7,141,35.6,49,1.3,福島県沖
2022,6,7,06,35,56.0,32,45.6,129,55.3,9,-,長崎県南西部
2022,6,7,06,42,24.2,26,52.5,126,36.3,17,2.1,沖縄本島北西沖
2022,6,7,06,46,45.9,36,44.2,140,34.2,9,-,茨城県北部
2022,6,7,06,49,11.9,35,6.0,137,17.8,40,0.9,愛知県西部
2022,6,7,06,51,45.8,37,30.6,137,12.8,11,0.8,石川県能登地方
2022,6,7,06,53,12.6,35,44.0,140,11.5,65,2.1,千葉県北西部
