年,月,日,時,分,秒,緯度(度),緯度(分),経度(度),経度(分),深さ(km),Ｍ,震央地名
2022,6,2,00,03,16.4,37,21.4,141,12.9,29,1.1,福島県沖
2022,6,2,00,04,16.7,36,3.1,141,14.7,1,1.4,茨城県沖
2022,6,2,00,06,36.8,35,55.5,136,20.7,7,0.6,福井県嶺北
2022,6,2,00,06,50.3,36,49.4,141,22.5,3,1.5,茨城県沖
2022,6,2,00,07,32.2,35,2.6,135,34.1,12,0.9,京都府南部
2022,6,2,00,10,5.5,32,21.4,130,40.0,10,-0.2,熊本県球磨地方
2022,6,2,00,10,13.8,37,51.3,141,34.7,49,1.6,福島県沖
2022,6,2,00,11,42.5,24,34.5,121,50.4,0,3.0,台湾付近
2022,6,2,00,12,2.1,35,56.3,138,5.6,3,-0.4,長野県南部
2022,6,2,00,13,27.6,37,13.4,140,13.4,94,1.1,福島県中通り
2022,6,2,00,16,12.1,31,37.5,130,45.0,8,0.8,鹿児島湾
2022,6,2,00,18,56.0,32,38.7,129,48.0,11,-0.5,長崎県南西部
2022,6,2,00,18,57.6,35,31.7,136,31.3,10,-0.5,岐阜県美濃中西部
2022,6,2,00,18,59.0,28,15.5,129,34.3,25,-,奄美大島近海
2022,6,2,00,19,26.5,27,40.6,128,16.4,11,1.4,沖縄本島近海
2022,6,2,00,19,42.2,35,16.5,135,48.8,12,0.2,京都府南部
2022,6,2,00,27,57.3,37,51.3,141,33.5,46,0.9,福島県沖
2022,6,2,00,29,7.5,34,14.8,140,23.5,50,1.5,房総半島南方沖
2022,6,2,00,29,28.5,33,41.0,135,33.1,35,0.0,和歌山県南部
2022,6,2,00,30,35.3,37,7.6,142,11.5,16,1.5,福島県沖
2022,6,2,00,31,57.9,36,48.5,141,21.2,8,1.9,茨城県沖
2022,6,2,00,32,5.1,37,50.1,141,37.3,49,1.0,福島県沖
2022,6,2,00,32,19.7,34,41.3,134,24.3,12,0.9,播磨灘
2022,6,2,00,32,47.4,34,41.6,134,24.3,13,0.5,播磨灘
2022,6,2,00,35,34.7,37,29.8,137,12.3,11,0.3,石川県能登地方
2022,6,2,00,40,19.9,33,39.1,135,25.4,36,0.2,和歌山県南部
2022,6,2,00,40,28.6,37,52.8,141,41.8,58,3.8,宮城県沖
2022,6,2,00,42,14.3,32,47.9,132,5.9,15,0.7,日向灘
2022,6,2,00,47,45.1,35,15.3,136,1.1,16,0.1,滋賀県南部
2022,6,2,00,48,3.3,34,59.6,135,31.4,10,0.1,京都府南部
2022,6,2,00,49,29.7,38,1.3,140,23.6,113,1.2,宮城県南部
2022,6,2,00,50,39.0,32,41.7,131,57.7,14,0.6,日向灘
2022,6,2,00,52,8.1,35,56.2,140,56.7,20,1.1,茨城県沖
2022,6,2,00,56,45.6,34,34.0,137,16.5,10,0.5,遠州灘
2022,6,2,00,58,15.5,43,30.8,143,46.9,7,0.5,十勝地方北部
2022,6,2,01,01,41.8,37,30.8,137,15.0,13,0.6,石川県能登地方
2022,6,2,01,03,40.1,34,56.2,135,54.1,10,0.0,滋賀県南部
2022,6,2,01,03,51.1,33,18.2,135,28.7,19,0.3,和歌山県南方沖
2022,6,2,01,04,7.2,34,22.9,136,18.9,8,0.0,三重県南部
2022,6,2,01,04,15.5,37,30.6,137,17.0,12,0.4,石川県能登地方
2022,6,2,01,05,0.7,37,15.7,142,9.6,19,1.0,福島県沖
2022,6,2,01,06,56.9,36,48.3,141,23.1,4,1.4,茨城県沖
2022,6,2,01,14,46.5,35,2.6,135,33.9,12,0.4,京都府南部
2022,6,2,01,15,38.4,37,32.8,141,37.0,53,1.0,福島県沖
2022,6,2,01,17,2.7,37,50.8,141,36.1,48,0.7,福島県沖
2022,6,2,01,17,13.8,37,50.1,141,36.2,48,1.0,福島県沖
2022,6,2,01,18,37.6,32,11.9,130,2.1,8,-0.7,熊本県天草・芦北地方
2022,6,2,01,21,49.8,36,49.3,141,22.7,2,1.6,茨城県沖
2022,6,2,01,22,45.3,32,34.0,129,58.1,11,-0.2,天草灘
2022,6,2,01,25,30.7,32,30.7,129,49.4,11,0.3,天草灘
2022,6,2,01,25,47.8,36,32.8,139,23.0,4,-0.3,群馬県南部
2022,6,2,01,26,30.1,42,21.1,143,8.3,57,0.2,十勝地方南部
2022,6,2,01,27,21.1,39,28.5,141,27.1,109,0.7,岩手県内陸南部
2022,6,2,01,27,38.2,37,37.2,140,18.7,15,0.1,福島県中通り
2022,6,2,01,27,51.2,37,37.7,140,18.6,17,0.2,福島県中通り
2022,6,2,01,28,26.0,37,35.6,140,17.9,15,0.4,福島県中通り
2022,6,2,01,28,51.7,37,37.0,140,18.4,15,0.4,福島県中通り
2022,6,2,01,31,55.8,30,7.5,132,6.4,68,2.5,種子島南東沖
2022,6,2,01,33,10.0,35,26.2,134,29.6,4,0.4,兵庫県北部
2022,6,2,01,34,48.5,37,51.1,141,35.1,48,2.2,福島県沖
2022,6,2,01,37,34.3,36,49.1,141,22.8,3,1.9,茨城県沖
2022,6,2,01,38,23.1,37,11.0,141,55.0,30,1.1,福島県沖
2022,6,2,01,40,46.0,37,30.4,137,12.3,11,0.4,石川県能登地方
2022,6,2,01,42,23.3,36,29.6,140,28.1,56,0.5,茨城県北部
2022,6,2,01,43,9.7,34,41.4,134,25.0,12,0.1,播磨灘
2022,6,2,01,44,11.4,36,19.5,137,37.8,5,0.1,岐阜県飛騨地方
2022,6,2,01,44,55.0,39,17.6,142,26.5,27,0.9,岩手県沖
2022,6,2,01,48,8.6,32,19.0,130,27.0,9,0.3,熊本県天草・芦北地方
2022,6,2,01,48,46.2,35,44.2,138,11.9,26,0.2,長野県南部
2022,6,2,01,51,17.0,37,27.3,137,9.1,10,0.9,石川県能登地方
2022,6,2,01,53,56.5,37,30.1,137,13.2,12,0.5,石川県能登地方
2022,6,2,01,55,9.4,34,3.7,134,23.0,8,0.8,徳島県北部
2022,6,2,01,57,9.8,37,29.8,137,12.8,11,0.3,石川県能登地方
2022,6,2,01,58,6.2,42,53.6,140,36.1,8,0.0,後志地方西部
2022,6,2,01,59,11.9,40,58.6,142,0.4,58,1.7,青森県東方沖
2022,6,2,01,59,51.2,37,30.5,137,13.8,12,0.0,石川県能登地方
2022,6,2,01,59,59.5,38,46.3,141,46.0,51,1.0,宮城県沖
2022,6,2,02,10,6.3,36,27.4,140,34.7,89,1.0,茨城県北部
2022,6,2,02,11,48.7,39,58.9,141,55.7,26,0.7,岩手県沿岸北部
2022,6,2,02,13,9.1,37,30.6,137,13.3,12,0.0,石川県能登地方
2022,6,2,02,13,29.1,31,59.3,130,22.1,2,-0.3,鹿児島県薩摩地方
2022,6,2,02,15,22.2,36,47.8,141,23.0,5,1.6,茨城県沖
2022,6,2,02,17,4.1,35,5.4,134,52.3,8,0.6,兵庫県南東部
2022,6,2,02,19,24.2,37,17.4,142,12.3,17,1.1,福島県沖
2022,6,2,02,19,42.0,41,29.2,143,8.8,16,1.6,青森県東方沖
2022,6,2,02,21,44.0,35,36.4,139,13.2,46,0.2,神奈川県西部
2022,6,2,02,21,44.3,42,55.5,142,57.4,86,0.6,十勝地方中部
2022,6,2,02,22,1.9,37,50.1,141,38.8,52,0.8,福島県沖
2022,6,2,02,22,38.6,34,41.3,134,24.4,13,1.0,播磨灘
2022,6,2,02,22,56.1,34,13.3,141,31.5,10,2.2,関東東方沖
2022,6,2,02,25,4.8,37,38.8,141,42.4,45,0.9,福島県沖
2022,6,2,02,25,12.0,35,51.6,140,55.0,28,0.9,千葉県東方沖
2022,6,2,02,26,17.8,37,31.4,137,18.6,12,0.5,石川県能登地方
2022,6,2,02,26,56.8,31,55.1,131,1.1,6,-0.8,宮崎県南部山沿い
2022,6,2,02,27,1.3,36,50.9,140,33.8,9,0.2,茨城県北部
2022,6,2,02,27,41.9,32,47.4,130,39.1,10,0.4,熊本県熊本地方
2022,6,2,02,28,23.3,37,51.5,141,34.5,47,1.0,福島県沖
2022,6,2,02,29,44.0,37,39.9,141,43.5,60,1.2,福島県沖
2022,6,2,02,33,12.7,37,30.4,137,12.0,13,0.0,石川県能登地方
2022,6,2,02,33,38.7,37,51.2,141,34.9,49,1.6,福島県沖
2022,6,2,02,34,55.7,32,40.8,132,0.0,37,0.0,日向灘
2022,6,2,02,35,47.7,35,38.9,139,35.1,125,1.0,東京都多摩東部
2022,6,2,02,36,23.2,35,28.2,136,17.8,12,0.1,滋賀県北部
2022,6,2,02,37,20.2,35,0.4,137,51.7,15,-0.2,静岡県西部
2022,6,2,02,39,4.7,38,46.2,141,19.9,6,0.5,宮城県北部
2022,6,2,02,40,48.3,36,7.5,141,7.6,25,1.3,茨城県沖
2022,6,2,02,43,50.9,28,44.3,129,37.6,49,1.8,奄美大島近海
2022,6,2,02,44,5.3,37,31.0,137,13.2,11,0.4,能登半島沖
2022,6,2,02,45,52.3,33,25.1,134,45.3,28,0.7,四国沖
2022,6,2,02,46,56.2,37,30.4,137,13.1,11,0.6,石川県能登地方
2022,6,2,02,47,17.8,34,3.2,135,17.3,7,-0.1,和歌山県北部
2022,6,2,02,48,50.9,37,22.2,143,56.0,13,1.3,福島県沖
2022,6,2,02,50,1.5,42,26.0,141,37.7,96,1.1,苫小牧沖
2022,6,2,02,50,10.5,37,32.2,137,18.0,13,0.8,能登半島沖
2022,6,2,02,51,56.8,43,0.8,143,33.9,98,0.8,十勝地方中部
2022,6,2,02,53,21.7,37,41.1,140,0.3,6,0.3,福島県会津
2022,6,2,02,54,12.0,32,58.2,130,40.5,10,-0.1,熊本県熊本地方
2022,6,2,02,54,26.5,35,46.0,141,28.6,22,1.4,茨城県沖
2022,6,2,02,54,36.6,37,24.5,141,54.4,40,1.9,福島県沖
2022,6,2,02,55,9.6,35,56.4,138,5.7,3,-0.1,長野県南部
2022,6,2,02,55,23.7,37,0.6,140,38.3,7,0.5,福島県浜通り
2022,6,2,02,55,30.8,38,47.2,141,41.1,69,0.7,宮城県沖
2022,6,2,02,57,45.0,35,26.0,133,50.4,7,0.0,鳥取県中部
2022,6,2,03,00,7.0,34,2.3,135,16.4,4,1.0,和歌山県北部
2022,6,2,03,02,50.5,36,47.9,141,24.1,5,1.4,茨城県沖
2022,6,2,03,03,40.9,29,44.1,130,36.3,29,1.3,奄美大島北東沖
2022,6,2,03,04,19.6,41,1.3,144,54.1,30,1.0,十勝沖
2022,6,2,03,06,55.5,35,29.6,134,57.6,8,-0.4,兵庫県北部
2022,6,2,03,07,52.5,39,26.0,143,6.7,8,1.3,三陸沖
2022,6,2,03,08,43.2,35,0.6,137,48.6,17,-0.1,静岡県西部
2022,6,2,03,11,41.6,36,53.7,139,48.9,7,-0.6,栃木県北部
2022,6,2,03,12,2.2,37,38.9,137,53.5,20,0.9,新潟県上中越沖
2022,6,2,03,12,47.0,34,7.7,133,48.2,12,0.4,香川県西部
2022,6,2,03,14,0.8,35,43.4,141,21.5,35,0.8,千葉県東方沖
2022,6,2,03,22,31.1,37,47.0,141,37.2,55,1.7,福島県沖
2022,6,2,03,25,59.2,33,30.9,132,6.3,54,0.3,伊予灘
2022,6,2,03,28,19.2,37,52.0,141,41.7,55,1.2,宮城県沖
2022,6,2,03,30,37.8,37,51.3,141,42.3,56,0.7,福島県沖
2022,6,2,03,30,58.8,37,47.1,141,35.6,54,1.0,福島県沖
2022,6,2,03,31,51.6,39,0.2,140,55.3,6,0.4,岩手県内陸南部
2022,6,2,03,35,6.2,36,3.3,137,35.1,7,0.1,岐阜県飛騨地方
2022,6,2,03,35,17.8,37,32.6,144,38.5,48,1.7,福島県沖
2022,6,2,03,35,20.1,32,47.4,132,21.1,10,1.1,豊後水道
2022,6,2,03,36,25.1,34,2.7,135,10.0,5,0.2,和歌山県北部
2022,6,2,03,36,28.6,37,31.8,137,12.6,17,0.4,能登半島沖
2022,6,2,03,39,11.0,32,47.4,130,38.6,10,-0.1,熊本県熊本地方
2022,6,2,03,39,27.2,37,43.2,141,34.1,55,1.0,福島県沖
2022,6,2,03,40,11.3,35,49.8,142,58.3,52,0.9,関東東方沖
2022,6,2,03,40,40.1,28,19.9,129,26.8,11,1.0,奄美大島近海
2022,6,2,03,41,6.8,45,11.4,141,47.6,12,0.8,宗谷地方北部
2022,6,2,03,41,21.2,37,27.3,137,8.6,13,0.4,石川県能登地方
2022,6,2,03,42,13.4,37,44.3,141,33.6,54,0.6,福島県沖
2022,6,2,03,45,43.7,36,58.2,141,29.0,7,1.2,福島県沖
2022,6,2,03,47,0.0,40,54.2,145,5.6,26,1.0,三陸沖
2022,6,2,03,48,11.2,39,28.0,142,22.9,36,0.8,岩手県沖
2022,6,2,03,48,38.5,32,40.2,132,2.1,41,0.3,日向灘
2022,6,2,03,56,46.4,34,54.5,135,38.2,12,1.4,大阪府北部
2022,6,2,03,58,53.4,32,53.8,130,31.9,10,-0.2,熊本県熊本地方
2022,6,2,03,59,52.1,37,49.9,141,36.5,48,1.1,福島県沖
2022,6,2,04,00,0.8,24,46.6,122,26.8,0,2.5,与那国島近海
2022,6,2,04,01,6.9,34,52.1,132,53.8,10,0.3,広島県北部
2022,6,2,04,05,48.9,36,49.1,141,22.2,2,0.9,茨城県沖
2022,6,2,04,06,49.0,36,49.3,141,22.2,3,1.2,茨城県沖
2022,6,2,04,08,43.4,37,5.6,140,32.3,7,0.3,福島県中通り
2022,6,2,04,10,21.6,37,49.3,141,35.6,49,1.2,福島県沖
2022,6,2,04,12,5.8,37,50.6,141,35.8,51,1.4,福島県沖
2022,6,2,04,13,7.7,28,10.6,129,28.2,17,0.9,奄美大島近海
2022,6,2,04,15,57.5,35,2.4,135,33.9,12,0.5,京都府南部
